#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 8.909586020273203e-10 8.031110324728159e-14
124.952 124.954 5 10 1.607683374192184e-09 6.573218793551061e-16
124.952 124.954 10 15 1.431337593251233e-09 2.699538093032311e-14
124.952 124.954 15 20 1.106408395954234e-09 9.92134776625368e-15
124.952 124.954 20 25 8.232963799964592e-10 6.146579047024335e-15
124.952 124.954 25 30 6.050121336411214e-10 3.600748981138995e-15
124.952 124.954 30 35 4.417736392033622e-10 2.18053761651837e-15
124.952 124.954 35 40 3.203185025972873e-10 1.407914606822253e-15
124.954 124.956 0 5 9.303690860431619e-10 2.783827083108628e-14
124.954 124.956 5 10 1.678580188788879e-09 8.164886912289217e-16
124.954 124.956 10 15 1.494465116443978e-09 2.806749543848472e-14
124.954 124.956 15 20 1.155210252514912e-09 1.026839634375345e-14
124.954 124.956 20 25 8.596140302130719e-10 6.483796065542438e-15
124.954 124.956 25 30 6.317031822702066e-10 3.710244462666717e-15
124.954 124.956 30 35 4.61265044972393e-10 2.240745794105893e-15
124.954 124.956 35 40 3.344527186977521e-10 1.443952802347258e-15
124.956 124.958 0 5 9.732761694948177e-10 2.921337757266859e-14
124.956 124.958 5 10 1.756001354654106e-09 1.024181884579725e-15
124.956 124.958 10 15 1.563401888603697e-09 2.920775990892131e-14
124.956 124.958 15 20 1.208502974440442e-09 1.062393603074352e-14
124.956 124.958 20 25 8.992736681674058e-10 6.869319302008319e-15
124.956 124.958 25 30 6.608503335540242e-10 3.817018807010812e-15
124.956 124.958 30 35 4.825500174899545e-10 2.297156660745535e-15
124.956 124.958 35 40 3.498875201473569e-10 1.476538663632823e-15
124.958 124.96 0 5 1.020321252585555e-09 3.074654344019124e-14
124.958 124.96 5 10 1.840888916498014e-09 1.29855458149651e-15
124.958 124.96 10 15 1.6389866820843e-09 3.041601633814178e-14
124.958 124.96 15 20 1.266934966233558e-09 1.098149419042266e-14
124.958 124.96 20 25 9.427578121021295e-10 7.315815942552457e-15
124.958 124.96 25 30 6.928081956279667e-10 3.916474739541335e-15
124.958 124.96 30 35 5.058875048486855e-10 2.346151519994948e-15
124.958 124.96 35 40 3.668106769480816e-10 1.50294884895559e-15
124.96 124.962 0 5 1.072131787550223e-09 3.247063688180904e-14
124.96 124.962 5 10 1.934374988769605e-09 1.665944067719561e-15
124.96 124.962 10 15 1.722227498207691e-09 3.168802982672803e-14
124.96 124.962 15 20 1.331285450491602e-09 1.133017264191306e-14
124.96 124.962 20 25 9.906463284455983e-10 7.840820201872786e-15
124.96 124.962 25 30 7.280029177187813e-10 4.001382065706079e-15
124.96 124.962 30 35 5.315886962057532e-10 2.382139892001816e-15
124.96 124.962 35 40 3.854478397212103e-10 1.51900866368739e-15
124.962 124.964 0 5 1.129468473622136e-09 3.44293495402539e-14
124.962 124.964 5 10 2.037832097440071e-09 2.165262900360941e-15
124.962 124.964 10 15 1.814346387952424e-09 3.301242078792065e-14
124.962 124.964 15 20 1.402499114621495e-09 1.165194202526861e-14
124.962 124.964 20 25 1.043642213629856e-09 8.469159872244078e-15
124.962 124.964 25 30 7.669511368388649e-10 4.060343084730987e-15
124.962 124.964 30 35 5.600308568620222e-10 2.396420692130234e-15
124.962 124.964 35 40 4.060725714688856e-10 1.518263461429829e-15
124.964 124.966 0 5 1.193262493482626e-09 3.668223264177306e-14
124.964 124.966 5 10 2.152940362037509e-09 2.85516142057442e-15
124.964 124.966 10 15 1.916839265530889e-09 3.436540981666139e-14
124.964 124.966 15 20 1.481732346878028e-09 1.191713624587199e-14
124.964 124.966 20 25 1.102605999760113e-09 9.236860248224011e-15
124.964 124.966 25 30 8.102852618963292e-10 4.075253991448776e-15
124.964 124.966 30 35 5.916757908882555e-10 2.375312364939295e-15
124.964 124.966 35 40 4.29019734690148e-10 1.490614189638153e-15
124.966 124.968 0 5 1.264665926331016e-09 3.931278799153285e-14
124.966 124.968 5 10 2.281778450169573e-09 3.826029092897065e-15
124.966 124.968 10 15 2.031556886433609e-09 3.570164492868419e-14
124.966 124.968 15 20 1.57041583215628e-09 1.20767594668497e-14
124.966 124.968 20 25 1.168602333790111e-09 1.019761042239123e-14
124.966 124.968 25 30 8.587877037028095e-10 4.017001358113135e-15
124.966 124.968 30 35 6.270948359649786e-10 2.296982721723315e-15
124.966 124.968 35 40 4.547036148230004e-10 1.420011779173706e-15
124.968 124.97 0 5 1.34512109314611e-09 4.244188964390376e-14
124.968 124.97 5 10 2.426948688009098e-09 5.220651598384992e-15
124.968 124.97 10 15 2.160816233927989e-09 3.693788506207501e-14
124.968 124.97 15 20 1.670340652768114e-09 1.204905068504811e-14
124.968 124.97 20 25 1.242964046941683e-09 1.143377742825961e-14
124.968 124.97 25 30 9.134379578778382e-10 3.837969556605253e-15
124.968 124.97 30 35 6.67003243213751e-10 2.125952088250774e-15
124.968 124.97 35 40 4.836428484396688e-10 1.280454214505444e-15
124.97 124.972 0 5 1.436457636416057e-09 4.625087952424884e-14
124.97 124.972 5 10 2.591752206467339e-09 7.270920718528454e-15
124.97 124.972 10 15 2.307556450898843e-09 3.792320416865155e-14
124.97 124.972 15 20 1.783778821300698e-09 1.169530410518242e-14
124.97 124.972 20 25 1.327381845080206e-09 1.307581936730331e-14
124.97 124.972 25 30 9.754785154356007e-10 3.458635277417482e-15
124.97 124.972 30 35 7.12308304582226e-10 1.803248619667102e-15
124.97 124.972 35 40 5.164953192600619e-10 1.028831432785083e-15
124.972 124.974 0 5 1.541031112436991e-09 5.102292748298051e-14
124.972 124.974 5 10 2.780438978986173e-09 1.036542085063129e-14
124.972 124.974 10 15 2.475561444574727e-09 3.838291861926785e-14
124.972 124.974 15 20 1.913655348824199e-09 1.077489520420064e-14
124.972 124.974 20 25 1.424032346193099e-09 1.533775952639569e-14
124.972 124.974 25 30 1.04650895264464e-09 2.742699313268829e-15
124.972 124.974 30 35 7.641780559207899e-10 1.228183922689571e-15
124.972 124.974 35 40 5.541079726107205e-10 5.916903942898831e-16
124.974 124.976 0 5 1.661925229749841e-09 5.722044373826931e-14
124.974 124.976 5 10 2.998572679485284e-09 1.517889775019406e-14
124.974 124.976 10 15 2.669784709137313e-09 3.780925710195402e-14
124.974 124.976 15 20 2.063799322121917e-09 8.858410183441837e-15
124.974 124.976 20 25 1.535764907246904e-09 1.858475343893476e-14
124.974 124.976 25 30 1.128623221641436e-09 1.449182074346359e-15
124.974 124.976 30 35 8.241415236106354e-10 2.232818865892419e-16
124.974 124.976 35 40 5.975895003094765e-10 1.602412146443793e-16
124.976 124.978 0 5 1.803254320447229e-09 6.563735363394317e-14
124.976 124.978 5 10 3.253576360656826e-09 2.293187949889041e-14
124.976 124.978 10 15 2.896835119196408e-09 3.523902040042464e-14
124.976 124.978 15 20 2.239319400872219e-09 5.15226730328709e-15
124.976 124.978 20 25 1.666381028638976e-09 2.346791110871786e-14
124.976 124.978 25 30 1.224614969769303e-09 8.640620508320224e-16
124.976 124.978 30 35 8.942386424858313e-10 1.536328261929302e-15
124.976 124.978 35 40 6.484190387835105e-10 1.463302248614323e-15
124.978 124.98 0 5 1.970628489716551e-09 7.771591155646708e-14
124.978 124.98 5 10 3.555571596926647e-09 3.593929927590591e-14
124.978 124.98 10 15 3.165723966627701e-09 2.877850784433605e-14
124.978 124.98 15 20 2.447181234817383e-09 1.873838919431899e-15
124.978 124.98 20 25 1.821063999319788e-09 3.120811771645898e-14
124.978 124.98 25 30 1.338293258429092e-09 5.044977586543885e-15
124.978 124.98 30 35 9.772507807745418e-10 4.672552570099516e-15
124.978 124.98 35 40 7.086133086843246e-10 3.769487696381281e-15
124.98 124.982 0 5 2.171891897340799e-09 9.624965566008989e-14
124.98 124.982 5 10 3.918710330792904e-09 5.884285960876931e-14
124.98 124.982 10 15 3.489050590654288e-09 1.45272196048376e-14
124.98 124.982 15 20 2.697123869661343e-09 1.532727283457862e-14
124.98 124.982 20 25 2.007060764577079e-09 4.423163488686641e-14
124.98 124.982 25 30 1.474983615822434e-09 1.280825341887886e-14
124.98 124.982 30 35 1.077066581734826e-09 1.044126846449004e-14
124.98 124.982 35 40 7.809918591318367e-10 7.990904437651486e-15
124.982 124.984 0 5 2.418337419250408e-09 1.270643498824989e-13
124.982 124.984 5 10 4.363366028572141e-09 1.015859662498963e-13
124.982 124.984 10 15 3.88495291609433e-09 1.603714768304001e-14
124.982 124.984 15 20 3.003167331821925e-09 4.192734094070187e-14
124.982 124.984 20 25 2.234803644862148e-09 6.770095264578762e-14
124.982 124.984 25 30 1.642352285248155e-09 2.785039565019194e-14
124.982 124.984 30 35 1.199283771679709e-09 2.154713907140608e-14
124.982 124.984 35 40 8.696133824830162e-10 1.609080779710365e-14
