#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 9.779687802850066e-10 8.793541611708462e-14
124.952 124.954 5 10 1.766527271085772e-09 2.389859969589352e-16
124.952 124.954 10 15 1.574348659975847e-09 3.007586112859295e-14
124.952 124.954 15 20 1.2179395478558e-09 1.123413471996926e-14
124.952 124.954 20 25 9.069268952959454e-10 6.509512369632883e-15
124.952 124.954 25 30 6.66918282520146e-10 4.141107238879936e-15
124.952 124.954 30 35 4.873171940907653e-10 2.530966396970792e-15
124.952 124.954 35 40 3.536164527975212e-10 1.644990733340803e-15
124.954 124.956 0 5 1.066921744695067e-09 3.149427949899935e-14
124.954 124.956 5 10 1.926958140614557e-09 3.101232692833978e-16
124.954 124.956 10 15 1.717336334442671e-09 3.27617348869887e-14
124.954 124.956 15 20 1.328563570449005e-09 1.22197972010054e-14
124.954 124.956 20 25 9.893065086346169e-10 7.125781338466299e-15
124.954 124.956 25 30 7.275002485175737e-10 4.49836581493771e-15
124.954 124.956 30 35 5.315869120995826e-10 2.747092106163014e-15
124.954 124.956 35 40 3.857422850876043e-10 1.784432818632469e-15
124.956 124.958 0 5 1.168398689979327e-09 3.452511394293404e-14
124.956 124.958 5 10 2.110246219789261e-09 4.072025276595747e-16
124.956 124.958 10 15 1.880696492019777e-09 3.581590930062393e-14
124.956 124.958 15 20 1.454949310176508e-09 1.333489143270087e-14
124.956 124.958 20 25 1.083423789043035e-09 7.837908252113021e-15
124.956 124.958 25 30 7.967142497591392e-10 4.900520965702029e-15
124.956 124.958 30 35 5.821645291708932e-10 2.989629199521205e-15
124.956 124.958 35 40 4.224457547305767e-10 1.94056453190638e-15
124.958 124.96 0 5 1.285051180479782e-09 3.80214618314235e-14
124.958 124.96 5 10 2.320945005818648e-09 5.416059106990693e-16
124.958 124.96 10 15 2.068487682719404e-09 3.930614287082349e-14
124.958 124.96 15 20 1.600236804563509e-09 1.460089075058117e-14
124.958 124.96 20 25 1.191617127262333e-09 8.668163883777797e-15
124.958 124.96 25 30 8.762799851858877e-10 5.354162204148587e-15
124.958 124.96 30 35 6.403067349550873e-10 3.262117722311634e-15
124.958 124.96 35 40 4.646388499150642e-10 2.115463095217238e-15
124.96 124.962 0 5 1.420060115104659e-09 4.208605309585392e-14
124.96 124.962 5 10 2.56480003246457e-09 7.306463111041584e-16
124.96 124.962 10 15 2.285830930943503e-09 4.331527819812174e-14
124.96 124.962 15 20 1.768388116165952e-09 1.60428453833358e-14
124.96 124.962 20 25 1.31683708071856e-09 9.646157840120701e-15
124.96 124.962 25 30 9.683673557215649e-10 5.866484877674936e-15
124.96 124.962 30 35 7.075992112126754e-10 3.568211677992025e-15
124.96 124.962 35 40 5.134723121362393e-10 2.311157628981448e-15
124.962 124.964 0 5 1.5774848495601e-09 4.685260592048206e-14
124.962 124.964 5 10 2.849143565943213e-09 1.001208838343644e-15
124.962 124.964 10 15 2.539261533667068e-09 4.794472996984753e-14
124.962 124.964 15 20 1.964459516161958e-09 1.7689406844927e-14
124.962 124.964 20 25 1.462849070917643e-09 1.081213007152637e-14
124.962 124.964 25 30 1.075745533325885e-09 6.444857770085232e-15
124.962 124.964 30 35 7.860655667677411e-10 3.911247205190208e-15
124.962 124.964 35 40 5.704146918493752e-10 2.529276810362698e-15
124.964 124.966 0 5 1.762570934947567e-09 5.249826242976703e-14
124.964 124.966 5 10 3.183450467138526e-09 1.395985824868868e-15
124.964 124.966 10 15 2.837224508987406e-09 5.331840701073566e-14
124.964 124.966 15 20 2.194984809461987e-09 1.957209860778928e-14
124.964 124.966 20 25 1.634518849105294e-09 1.222214844121706e-14
124.964 124.966 25 30 1.201992900190508e-09 7.095794467756932e-15
124.964 124.966 30 35 8.783207545451095e-10 4.29333811846663e-15
124.964 124.966 35 40 6.373636855389431e-10 2.770329761376595e-15
124.966 124.968 0 5 1.982191233691263e-09 5.926256775195526e-14
124.966 124.968 5 10 3.580134971453716e-09 1.984512873804592e-15
124.966 124.968 10 15 3.190784778996482e-09 5.958645266585743e-14
124.966 124.968 15 20 2.468524798746002e-09 2.172281401920205e-14
124.966 124.968 20 25 1.838221687376543e-09 1.395663945028363e-14
124.966 124.968 25 30 1.351797979223961e-09 7.822686586356998e-15
124.966 124.968 30 35 9.877909824027907e-10 4.713494036024843e-15
124.966 124.968 35 40 7.16805728455222e-10 3.032259762363703e-15
124.968 124.97 0 5 2.24549072275893e-09 6.747738173091862e-14
124.968 124.97 5 10 4.055715386527297e-09 2.883244284675067e-15
124.968 124.97 10 15 3.614665284902143e-09 6.69271884504806e-14
124.968 124.97 15 20 2.796470468317471e-09 2.41674426428525e-14
124.968 124.97 20 25 2.082440517817588e-09 1.6134873660584e-14
124.968 124.97 25 30 1.531399322500166e-09 8.62098677946367e-15
124.968 124.97 30 35 1.119035170476546e-09 5.163788084813982e-15
124.968 124.97 35 40 8.12049281457373e-10 3.307529625266524e-15
124.97 124.972 0 5 2.564849845927847e-09 7.761590921344612e-14
124.97 124.972 5 10 4.632554181686324e-09 4.293430350138905e-15
124.97 124.972 10 15 4.128797960307693e-09 7.554295689715027e-14
124.97 124.972 15 20 3.194242964458977e-09 2.691089548395176e-14
124.97 124.972 20 25 2.378659570717022e-09 1.894066017574112e-14
124.97 124.972 25 30 1.749242718614641e-09 9.468055844111852e-15
124.97 124.972 30 35 1.278225219055944e-09 5.621441577090594e-15
124.97 124.972 35 40 9.275733695786341e-10 3.577194745293426e-15
124.972 124.974 0 5 2.957359494296102e-09 9.037676173946601e-14
124.972 124.974 5 10 5.341522226853757e-09 6.575443149633436e-15
124.972 124.974 10 15 4.76069841811719e-09 8.563915894360072e-14
124.972 124.974 15 20 3.683130880537282e-09 2.990290104526323e-14
124.972 124.974 20 25 2.74273262147594e-09 2.267004349591638e-14
124.972 124.974 25 30 2.016987441782093e-09 1.030142533763558e-14
124.972 124.974 30 35 1.473881346565592e-09 6.032202832200767e-15
124.972 124.974 35 40 1.069561229772596e-09 3.798563532387666e-15
124.974 124.976 0 5 3.447142775046936e-09 1.068357902473879e-13
124.974 124.976 5 10 6.226192578765843e-09 1.040116265364264e-14
124.974 124.976 10 15 5.549203956053057e-09 9.735961556476605e-14
124.974 124.976 15 20 4.293182338351115e-09 3.295972943211827e-14
124.974 124.976 20 25 3.197036757838802e-09 2.782456030157646e-14
124.974 124.976 25 30 2.35109019703807e-09 1.097120497577592e-14
124.974 124.976 30 35 1.718029592211322e-09 6.274417606258073e-15
124.974 124.976 35 40 1.246740331780227e-09 3.878660464456556e-15
124.976 124.978 0 5 4.069126913497983e-09 1.287375717764153e-13
124.976 124.978 5 10 7.349653634541387e-09 1.708282337586538e-14
124.976 124.978 10 15 6.550546263161876e-09 1.106089370608574e-13
124.976 124.978 15 20 5.067903423268315e-09 3.558090150453718e-14
124.976 124.978 20 25 3.773971362888303e-09 3.530441148457338e-14
124.976 124.978 25 30 2.775378379638887e-09 1.113205992886311e-14
124.976 124.978 30 35 2.0280822832154e-09 6.078196877573812e-15
124.976 124.978 35 40 1.471747068869996e-09 3.614849679646231e-15
124.978 124.98 0 5 4.875397513232648e-09 1.590959095367083e-13
124.978 124.98 5 10 8.805986788157441e-09 2.932535923610362e-14
124.978 124.98 10 15 7.84858170665356e-09 1.245760854938213e-13
124.978 124.98 15 20 6.072173333876001e-09 3.650351353573323e-14
124.978 124.98 20 25 4.52185262977782e-09 4.683568457744505e-14
124.978 124.98 25 30 3.32538508569541e-09 9.986267931516606e-15
124.978 124.98 30 35 2.430005944044606e-09 4.834500583222778e-15
124.978 124.98 35 40 1.763425771792504e-09 2.555072070496972e-15
124.98 124.982 0 5 5.946364238312537e-09 2.035367131892651e-13
124.98 124.982 5 10 1.07404349477217e-08 5.306951727315365e-14
124.98 124.982 10 15 9.572767993648402e-09 1.36431893886241e-13
124.98 124.982 15 20 7.406152896395672e-09 3.255942722403551e-14
124.98 124.982 20 25 5.515271421039561e-09 6.598841072517585e-14
124.98 124.982 25 30 4.055966612585006e-09 5.635326581222072e-15
124.98 124.982 30 35 2.963887965620597e-09 1.115784882839206e-15
124.98 124.982 35 40 2.150868553742188e-09 3.521760980634183e-16
124.982 124.984 0 5 7.411378685926399e-09 2.736019523699462e-13
124.982 124.984 5 10 1.3386644540834e-08 1.023876272834153e-13
124.982 124.984 10 15 1.193135886275402e-08 1.375917496418629e-13
124.982 124.984 15 20 9.230967266898713e-09 1.553521878785484e-14
124.982 124.984 20 25 6.874219539817394e-09 1.008223770403498e-13
124.982 124.984 25 30 5.055368542019036e-09 6.681151824166284e-15
124.982 124.984 30 35 3.694215738197075e-09 8.621135846302244e-15
124.982 124.984 35 40 2.680875093080399e-09 7.703070655707013e-15
124.984 124.986 0 5 9.489125411380999e-09 3.958415853989667e-13
124.984 124.986 5 10 1.71396237980562e-08 2.138150205993599e-13
124.984 124.986 10 15 1.527643362905474e-08 1.021636176745492e-13
124.984 124.986 15 20 1.181901927469083e-08 3.725014970426814e-14
124.984 124.986 20 25 8.801558816061148e-09 1.715033507251027e-13
124.984 124.986 25 30 6.472781752500233e-09 3.982640606133132e-14
124.984 124.986 30 35 4.730013896347207e-09 3.388474695416646e-14
124.984 124.986 35 40 3.432566669386876e-09 2.643980400690683e-14
124.986 124.988 0 5 1.257262708482734e-08 6.403941115301758e-13
124.986 124.988 5 10 2.270928771727601e-08 4.935998853711463e-13
124.986 124.988 10 15 2.024075583331334e-08 5.261024816251708e-14
124.986 124.988 15 20 1.565987702083435e-08 1.945645073499874e-13
124.986 124.988 20 25 1.166187721629872e-08 3.351036282119768e-13
124.986 124.988 25 30 8.576335883295198e-09 1.322517985768275e-13
124.986 124.988 30 35 6.267224530869579e-09 1.029677678930547e-13
124.986 124.988 35 40 4.548142434672397e-09 7.716916944477102e-14
124.988 124.99 0 5 1.742467991179633e-08 1.226586528993723e-12
124.988 124.99 5 10 3.1473473929173e-08 1.298474837376204e-12
124.988 124.99 10 15 2.805242597851471e-08 6.216502677985369e-13
124.988 124.99 15 20 2.170372106227278e-08 6.937224897747162e-13
124.988 124.99 20 25 1.616278780828678e-08 7.796546335427397e-13
124.988 124.99 25 30 1.188643290063522e-08 4.154473844078384e-13
124.988 124.99 30 35 8.686144205740569e-09 3.123312675614484e-13
124.988 124.99 35 40 6.303591718407062e-09 2.300368138631115e-13
124.99 124.992 0 5 2.56794438263686e-08 5.654770720025802e-13
124.99 124.992 5 10 4.638499028121766e-08 4.07273817810386e-12
124.99 124.992 10 15 4.134335926945175e-08 2.843360110197454e-12
124.99 124.992 15 20 3.198686514788614e-08 2.512249046096267e-12
124.99 124.992 20 25 2.382076426783398e-08 2.257106238880582e-12
124.99 124.992 25 30 1.751833915849463e-08 1.427992819415758e-12
124.99 124.992 30 35 1.2801782387333e-08 1.056338136689877e-12
124.99 124.992 35 40 9.290385157308811e-09 7.715364296027093e-13
124.992 124.994 0 5 4.133062704980074e-08 8.921019991911415e-13
124.992 124.994 5 10 7.465627340149382e-08 2.937039593985882e-14
124.992 124.994 10 15 6.654316258091589e-08 9.845675287731249e-13
124.992 124.994 15 20 5.148352429280277e-08 3.809536390072374e-13
124.992 124.994 20 25 3.833971300393081e-08 1.870347353819259e-13
124.992 124.994 25 30 2.819632061782955e-08 1.449941804732705e-13
124.992 124.994 30 35 2.060495340284472e-08 9.028646243885648e-14
124.992 124.994 35 40 1.495329756154137e-08 5.945369525725881e-14
124.994 124.996 0 5 7.595945378536747e-08 1.486037069156712e-12
124.994 124.996 5 10 1.372077428197848e-07 2.919820207202799e-13
124.994 124.996 10 15 1.222977120591607e-07 1.998701838180809e-12
124.994 124.996 15 20 9.462051106025144e-08 8.556310672508717e-13
124.994 124.996 20 25 7.0464080367258e-08 2.16695264524591e-13
124.994 124.996 25 30 5.182190358708983e-08 3.531564744841798e-13
124.994 124.996 30 35 3.786993631801526e-08 2.296479914710562e-13
124.994 124.996 35 40 2.748287420793383e-08 1.556494540880786e-13
124.996 124.998 0 5 1.694837781296999e-07 8.846344593127412e-13
124.996 124.998 5 10 3.061452473335683e-07 4.864296492781135e-12
124.996 124.998 10 15 2.728788639425359e-07 8.110368397694988e-12
124.996 124.998 15 20 2.11124648359659e-07 4.775031032862014e-12
124.996 124.998 20 25 1.572256063770014e-07 1.701867045877017e-12
124.996 124.998 25 30 1.156300996670309e-07 2.364451389388962e-12
124.996 124.998 30 35 8.449949719766268e-08 1.666125302862732e-12
