#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 1.311342913549934e-09 6.735292037641801e-14
124.952 124.954 5 10 2.24663153067613e-09 9.179334608419107e-16
124.952 124.954 10 15 1.899614034346256e-09 3.961058776399098e-14
124.952 124.954 15 20 1.409444252210879e-09 1.418951605439962e-14
124.952 124.954 20 25 1.012489961960203e-09 8.522749132808181e-15
124.952 124.954 25 30 7.19491500358698e-10 4.99911104361764e-15
124.952 124.954 30 35 5.072693529875188e-10 3.003681912247131e-15
124.952 124.954 35 40 3.534353828675324e-10 1.929084868648858e-15
124.954 124.956 0 5 1.369367057432087e-09 4.708938099291061e-14
124.954 124.956 5 10 2.345813674158531e-09 1.140222586146277e-15
124.954 124.956 10 15 1.98348784973083e-09 4.120199140620394e-14
124.954 124.956 15 20 1.471682848562969e-09 1.470065553787676e-14
124.954 124.956 20 25 1.057204591758478e-09 8.98021665399678e-15
124.954 124.956 25 30 7.512699001650902e-10 5.161179898626012e-15
124.954 124.956 30 35 5.296770185798433e-10 3.095001856849019e-15
124.954 124.956 35 40 3.690499032603843e-10 1.985502852247092e-15
124.956 124.958 0 5 1.43259091475422e-09 4.939695628122671e-14
124.956 124.958 5 10 2.454133872061637e-09 1.430288050718605e-15
124.956 124.958 10 15 2.075089199594911e-09 4.289951342550713e-14
124.956 124.958 15 20 1.539655596492889e-09 1.522902990265261e-14
124.956 124.958 20 25 1.10603881231617e-09 9.501039506842052e-15
124.956 124.958 25 30 7.859760326227045e-10 5.322968395448214e-15
124.956 124.958 30 35 5.541490674256064e-10 3.184017628850071e-15
124.956 124.958 35 40 3.861029423238475e-10 2.039653192160726e-15
124.958 124.96 0 5 1.50191959683738e-09 5.196465667908033e-14
124.958 124.96 5 10 2.572913218561941e-09 1.813486596471953e-15
124.958 124.96 10 15 2.175535242666738e-09 4.470523266698704e-14
124.958 124.96 15 20 1.614191463545381e-09 1.576733168526938e-14
124.958 124.96 20 25 1.159588172079394e-09 1.010136917035387e-14
124.958 124.96 25 30 8.240331399879841e-10 5.479439950448421e-15
124.958 124.96 30 35 5.809839290619999e-10 3.266874166860757e-15
124.958 124.96 35 40 4.048024503729649e-10 2.088756066102092e-15
124.96 124.962 0 5 1.578280006400279e-09 5.484504172794132e-14
124.96 124.962 5 10 2.703739717631929e-09 2.326607134916356e-15
124.96 124.962 10 15 2.286168841569342e-09 4.661628284807794e-14
124.96 124.962 15 20 1.696286894460131e-09 1.630280703640082e-14
124.96 124.962 20 25 1.218568537185889e-09 1.080345494536905e-14
124.96 124.962 25 30 8.659499703077238e-10 5.622514660301286e-15
124.96 124.962 30 35 6.105403225366612e-10 3.337511544989733e-15
124.96 124.962 35 40 4.253983876217724e-10 2.128473352128629e-15
124.962 124.964 0 5 1.662796165864006e-09 5.810749008726849e-14
124.962 124.964 5 10 2.848539081219941e-09 3.024006621568695e-15
124.962 124.964 10 15 2.408618430101072e-09 4.862090708695185e-14
124.962 124.964 15 20 1.787150233324914e-09 1.681386011010963e-14
124.962 124.964 20 25 1.283848004420094e-09 1.163866057409147e-14
124.962 124.964 25 30 9.123434565874359e-10 5.739268536829453e-15
124.962 124.964 30 35 6.432532470489519e-10 3.386376308167536e-15
124.962 124.964 35 40 4.481938662687276e-10 2.152011243143787e-15
124.964 124.966 0 5 1.75684438943347e-09 6.184586174554001e-14
124.964 124.966 5 10 3.009669249303385e-09 3.987616736514662e-15
124.964 124.966 10 15 2.544877939475317e-09 5.06916510903333e-14
124.964 124.966 15 20 1.888261029441592e-09 1.726438221342083e-14
124.964 124.966 20 25 1.356489506497573e-09 1.265230717743776e-14
124.964 124.966 25 30 9.639689943813554e-10 5.808943961498479e-15
124.964 124.966 30 35 6.796553300137751e-10 3.398296621859399e-15
124.964 124.966 35 40 4.735600255178551e-10 2.148627547059106e-15
124.966 124.968 0 5 1.862128012431208e-09 6.61907438228989e-14
124.966 124.968 5 10 3.190048414594707e-09 5.343710933446115e-15
124.966 124.968 10 15 2.697415055592924e-09 5.27734153008969e-14
124.966 124.968 15 20 2.0014503646506e-09 1.759404497769783e-14
124.966 124.968 20 25 1.437808518879347e-09 1.39116801135583e-14
124.966 124.968 25 30 1.021761451174493e-09 5.797875706289681e-15
124.966 124.968 30 35 7.204057417103509e-10 3.348865618603923e-15
124.966 124.968 35 40 5.019561787327463e-10 2.101111144528046e-15
124.968 124.97 0 5 1.980780237208204e-09 7.132966767802873e-14
124.968 124.97 5 10 3.393331215079526e-09 7.291768381049248e-15
124.968 124.97 10 15 2.869320206014724e-09 5.476211182511076e-14
124.968 124.97 15 20 2.129011401671806e-09 1.770131344727303e-14
124.968 124.97 20 25 1.529452476839839e-09 1.551964931850063e-14
124.968 124.97 25 30 1.086891603875409e-09 5.650641137706524e-15
124.968 124.97 30 35 7.663299876725837e-10 3.198177406664608e-15
124.968 124.97 35 40 5.33957539832099e-10 1.981393968935639e-15
124.97 124.972 0 5 2.115508195948435e-09 7.754175077167458e-14
124.97 124.972 5 10 3.624155536710434e-09 1.015577273749827e-14
124.97 124.972 10 15 3.064515252964349e-09 5.646555544885308e-14
124.97 124.972 15 20 2.273854233398287e-09 1.741281862042651e-14
124.97 124.972 20 25 1.633512017343652e-09 1.763864815423284e-14
124.97 124.972 25 30 1.160845192051357e-09 5.274191732278925e-15
124.97 124.972 30 35 8.184756464042192e-10 2.87957512613115e-15
124.97 124.972 35 40 5.70294059641923e-10 1.742701939558696e-15
124.972 124.974 0 5 2.269798754548297e-09 8.52595026122914e-14
124.972 124.974 5 10 3.88849508616475e-09 1.44786553963912e-14
124.972 124.974 10 15 3.288051621832329e-09 5.752966554115806e-14
124.972 124.974 15 20 2.439727091399142e-09 1.642632143246823e-14
124.972 124.974 20 25 1.752679891541522e-09 2.053446338453867e-14
124.972 124.974 25 30 1.245535847209494e-09 4.50840075467774e-15
124.972 124.974 30 35 8.78191991303109e-10 2.278804704082824e-15
124.972 124.974 35 40 6.119059036021764e-10 1.304996750444049e-15
124.974 124.976 0 5 2.448219062816303e-09 9.518412107798408e-14
124.974 124.976 5 10 4.194174274289732e-09 2.120323573713655e-14
124.974 124.976 10 15 3.546545672624297e-09 5.729426186759708e-14
124.974 124.976 15 20 2.631539384791716e-09 1.420040130871919e-14
124.974 124.976 20 25 1.890483028687532e-09 2.46595491396677e-14
124.974 124.976 25 30 1.343470004979616e-09 3.069251491942492e-15
124.974 124.976 30 35 9.472462626623411e-10 1.193851597081511e-15
124.974 124.976 35 40 6.600244650248715e-10 5.269699213869705e-16
124.976 124.978 0 5 2.65686647682193e-09 1.085116685635991e-13
124.976 124.978 5 10 4.551638987532696e-09 3.203507964727347e-14
124.976 124.978 10 15 3.848830436695935e-09 5.449928242082085e-14
124.976 124.978 15 20 2.855845274202239e-09 9.731558180509585e-15
124.976 124.978 20 25 2.051629921709761e-09 3.081920703404021e-14
124.976 124.978 25 30 1.457993766422047e-09 4.343238033971147e-16
124.976 124.978 30 35 1.027997716401207e-09 7.459797270997809e-16
124.976 124.978 35 40 7.162936331745812e-10 8.504021069321856e-16
124.978 124.98 0 5 2.904061229209327e-09 1.27402573813501e-13
124.978 124.98 5 10 4.975143203377858e-09 5.020935838011072e-14
124.978 124.98 10 15 4.206958964070591e-09 4.665620542870028e-14
124.978 124.98 15 20 3.121588124375082e-09 1.080329080833369e-15
124.978 124.98 20 25 2.242545414599333e-09 4.052123681965507e-14
124.978 124.98 25 30 1.59367292780832e-09 4.400249241674504e-15
124.978 124.98 30 35 1.123665559480384e-09 4.251665089871658e-15
124.978 124.98 35 40 7.829564738643579e-10 3.323522436766045e-15
124.98 124.982 0 5 3.201447324362378e-09 1.560215106532559e-13
124.98 124.982 5 10 5.484634912326228e-09 8.221363894658378e-14
124.98 124.982 10 15 4.637798948365929e-09 2.862238467289104e-14
124.98 124.982 15 20 3.441283649872906e-09 1.569828764104787e-14
124.98 124.982 20 25 2.472220619307026e-09 5.675872912688155e-14
124.98 124.982 25 30 1.756896939274809e-09 1.346756278990716e-14
124.98 124.982 30 35 1.238754757140534e-09 1.076111740660566e-14
124.98 124.982 35 40 8.631518998140873e-10 7.895690525943741e-15
124.982 124.984 0 5 3.565806901468171e-09 2.030206453231665e-13
