#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 1.362040674638582e-09 6.989372975108184e-14
124.952 124.954 5 10 2.334867943137732e-09 3.158756238837957e-16
124.952 124.954 10 15 1.975525553098721e-09 4.16997382656364e-14
124.952 124.954 15 20 1.466636421712693e-09 1.514970929303028e-14
124.952 124.954 20 25 1.054169135839855e-09 8.573926125429384e-15
124.952 124.954 25 30 7.495465339898174e-10 5.402908647101377e-15
124.952 124.954 30 35 5.288040923829383e-10 3.268035004732057e-15
124.952 124.954 35 40 3.687297009005672e-10 2.106937241918162e-15
124.954 124.956 0 5 1.485879760548476e-09 5.056571740542075e-14
124.954 124.956 5 10 2.546913659649553e-09 4.098999210373085e-16
124.954 124.956 10 15 2.154950475696853e-09 4.542945993411505e-14
124.954 124.956 15 20 1.599850738280778e-09 1.648383679021132e-14
124.954 124.956 20 25 1.149924911826939e-09 9.381709271140753e-15
124.954 124.956 25 30 8.176359796608901e-10 5.872397799509362e-15
124.954 124.956 30 35 5.76844304610763e-10 3.549910731386341e-15
124.954 124.956 35 40 4.022302738893139e-10 2.287892852997124e-15
124.956 124.958 0 5 1.62720338022964e-09 5.54238820929962e-14
124.956 124.958 5 10 2.789170344135101e-09 5.382124713056516e-16
124.956 124.958 10 15 2.35993940637672e-09 4.967250530652272e-14
124.956 124.958 15 20 1.752045507513113e-09 1.799478193619412e-14
124.956 124.958 20 25 1.259324302155805e-09 1.031393290034511e-14
124.956 124.958 25 30 8.954272438148859e-10 6.402023736528477e-15
124.956 124.958 30 35 6.317297453917143e-10 3.867188048386874e-15
124.956 124.958 35 40 4.405044539375108e-10 2.491313012662828e-15
124.958 124.96 0 5 1.789661423986142e-09 6.102556670103834e-14
124.958 124.96 5 10 3.06765647122889e-09 7.158575765846995e-16
124.958 124.96 10 15 2.595585141271934e-09 5.45240849430381e-14
124.958 124.96 15 20 1.927002007942981e-09 1.971257413262681e-14
124.958 124.96 20 25 1.38508541003645e-09 1.139907737940685e-14
124.958 124.96 25 30 9.848531585287035e-10 7.001118229444406e-15
124.958 124.96 30 35 6.948241616820628e-10 4.225050633175501e-15
124.958 124.96 35 40 4.845032798275261e-10 2.720373409200039e-15
124.96 124.962 0 5 1.977683806382899e-09 6.753377650460435e-14
124.96 124.962 5 10 3.389966060853118e-09 9.657180238504291e-16
124.96 124.962 10 15 2.868313703543788e-09 6.010099870078147e-14
124.96 124.962 15 20 2.129491413613326e-09 2.1672641202131e-14
124.96 124.962 20 25 1.530637911389807e-09 1.26748287362946e-14
124.96 124.962 25 30 1.088352555461081e-09 7.680197361869336e-15
124.96 124.962 30 35 7.678483206255118e-10 4.629156546725871e-15
124.96 124.962 35 40 5.354267681673236e-10 2.978458742425413e-15
124.962 124.964 0 5 2.196923833623929e-09 7.516017074353209e-14
124.962 124.964 5 10 3.765790357878397e-09 1.323328633604643e-15
124.962 124.964 10 15 3.186325791221349e-09 6.654689422147112e-14
124.962 124.964 15 20 2.365602562091192e-09 2.391619803456312e-14
124.962 124.964 20 25 1.700358667307257e-09 1.419212896016997e-14
124.962 124.964 25 30 1.209037810679103e-09 8.450643548589798e-15
124.962 124.964 30 35 8.529982253636974e-10 5.085284182870476e-15
124.962 124.964 35 40 5.948063548576487e-10 3.268890012941187e-15
124.964 124.966 0 5 2.454686778528913e-09 8.418430497864805e-14
124.964 124.966 5 10 4.207652529415891e-09 1.845117351957173e-15
124.964 124.966 10 15 3.560218482260194e-09 7.403842863372068e-14
124.964 124.966 15 20 2.643203561027323e-09 2.648987597494479e-14
124.964 124.966 20 25 1.899903545194294e-09 1.602153735964894e-14
124.964 124.966 25 30 1.350930803970965e-09 9.323780403121105e-15
124.964 124.966 30 35 9.531116027295928e-10 5.598520352685913e-15
124.964 124.966 35 40 6.646210006161884e-10 3.594292960431713e-15
124.966 124.968 0 5 2.760544204585597e-09 9.498281737551408e-14
124.966 124.968 5 10 4.731960789083823e-09 2.622991592661016e-15
124.966 124.968 10 15 4.003876395339992e-09 8.279173625467402e-14
124.966 124.968 15 20 2.97260346212246e-09 2.944343818204383e-14
124.966 124.968 20 25 2.136683056703238e-09 1.826359479156319e-14
124.966 124.968 25 30 1.519301147169965e-09 1.030866483827987e-14
124.966 124.968 30 35 1.071906549917183e-09 6.171440563762873e-15
124.966 124.968 35 40 7.474636190210945e-10 3.955266037869258e-15
124.968 124.97 0 5 3.127231956824148e-09 1.080751083827037e-13
124.968 124.97 5 10 5.360547807691161e-09 3.810870499455954e-15
124.968 124.97 10 15 4.535774350918799e-09 9.306745944665611e-14
124.968 124.97 15 20 3.367519468961445e-09 3.28231662209424e-14
124.968 124.97 20 25 2.420557626335756e-09 2.106632008622195e-14
124.968 124.97 25 30 1.721160593298491e-09 1.140716383937932e-14
124.968 124.97 30 35 1.214330379326859e-09 6.80030278563381e-15
124.968 124.97 35 40 8.467843551900981e-10 4.347599689512329e-15
124.97 124.972 0 5 3.571991782629614e-09 1.241976279354031e-13
124.97 124.972 5 10 6.122970633828033e-09 5.67475474896126e-15
124.97 124.972 10 15 5.180923583770244e-09 1.05169403646726e-13
124.97 124.972 15 20 3.846521974281919e-09 3.665540935185413e-14
124.97 124.972 20 25 2.764876344288943e-09 2.465605917615501e-14
124.97 124.972 25 30 1.966001699808575e-09 1.260326782900288e-14
124.97 124.972 30 35 1.387080804570321e-09 7.466964937416549e-15
124.97 124.972 35 40 9.67254052673974e-10 4.756480150769721e-15
124.972 124.974 0 5 4.118625475748668e-09 1.444301336873251e-13
124.972 124.974 5 10 7.060032086299869e-09 8.690956760563887e-15
124.972 124.974 10 15 5.973851578852433e-09 1.194241511361074e-13
124.972 124.974 15 20 4.435247051056977e-09 4.0907825546951e-14
124.972 124.974 20 25 3.18806739836463e-09 2.939444220475642e-14
124.972 124.974 25 30 2.266928795096995e-09 1.383978863304735e-14
124.972 124.974 30 35 1.599403928549532e-09 8.121630842808734e-15
124.972 124.974 35 40 1.115320758482977e-09 5.1441918433692e-15
124.974 124.976 0 5 4.800728306622262e-09 1.70421578745564e-13
124.974 124.976 5 10 8.229323788122343e-09 1.374751962969729e-14
124.974 124.976 10 15 6.963292644985758e-09 1.361092595494838e-13
124.974 124.976 15 20 5.169879148402812e-09 4.539892936482689e-14
124.974 124.976 20 25 3.716141584798474e-09 3.588913216514031e-14
124.974 124.976 25 30 2.642438243017274e-09 1.496662619652519e-14
124.974 124.976 30 35 1.864350364890603e-09 8.645079238882962e-15
124.974 124.976 35 40 1.300085724438104e-09 5.423400579565767e-15
124.976 124.978 0 5 5.666941991991038e-09 2.048194778782469e-13
124.976 124.978 5 10 9.714231284903568e-09 2.257886014602718e-14
124.976 124.978 10 15 8.219808149663924e-09 1.552454497975956e-13
124.976 124.978 15 20 6.102809031786845e-09 4.958355464780135e-14
124.976 124.978 20 25 4.38675948122519e-09 4.522221580595187e-14
124.976 124.978 25 30 3.119310641527118e-09 1.562221783634363e-14
124.976 124.978 30 35 2.200815921335096e-09 8.762937251912595e-15
124.976 124.978 35 40 1.534726552650024e-09 5.396704580542198e-15
124.978 124.98 0 5 6.789804004860641e-09 2.52145579015071e-13
124.978 124.98 5 10 1.163910435515854e-08 3.876016350030231e-14
124.978 124.98 10 15 9.848623825575019e-09 1.760241450859529e-13
124.978 124.98 15 20 7.312165350403091e-09 5.202656473748697e-14
124.978 124.98 20 25 5.25608315679007e-09 5.945323528776277e-14
124.978 124.98 25 30 3.737483132147628e-09 1.494954802087122e-14
124.978 124.98 30 35 2.636979417200961e-09 7.841877172432326e-15
124.978 124.98 35 40 1.838894686477141e-09 4.613394026341391e-15
124.98 124.982 0 5 8.281297546620365e-09 3.207350595833927e-13
124.98 124.982 5 10 1.419591425185347e-08 7.014347697614007e-14
124.98 124.982 10 15 1.20121874898776e-08 1.952175534105402e-13
124.98 124.982 15 20 8.918563526342018e-09 4.904489118521802e-14
124.98 124.982 20 25 6.410816020986218e-09 8.28138673727012e-14
124.98 124.982 25 30 4.558611047625552e-09 1.087583600141093e-14
124.98 124.982 30 35 3.216343640182804e-09 4.375255845049365e-15
124.98 124.982 35 40 2.242928303425496e-09 2.008892979698431e-15
124.982 124.984 0 5 1.032156517934212e-08 4.274648490547852e-13
124.982 124.984 5 10 1.769347740610906e-08 1.353285820400061e-13
124.982 124.984 10 15 1.497182286267053e-08 2.025708327265811e-13
124.982 124.984 15 20 1.111603334294741e-08 3.09597791384181e-14
124.982 124.984 20 25 7.990434972837487e-09 1.248041480378803e-13
124.982 124.984 25 30 5.681877414372657e-09 1.851322835269947e-15
124.982 124.984 30 35 4.0088902809661e-09 5.413652773241508e-15
124.982 124.984 35 40 2.795631645822694e-09 5.072801987929177e-15
