#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 0 0
124.952 124.954 5 10 2.04701475239153e-09 8.366193285725411e-16
124.952 124.954 10 15 1.737158276208575e-09 3.593352141333017e-14
124.952 124.954 15 20 1.29109131579096e-09 1.290005922693529e-14
124.952 124.954 20 25 9.283809581446955e-10 7.76340090679988e-15
124.952 124.954 25 30 6.601959507746548e-10 4.55393208814082e-15
124.952 124.954 30 35 4.657623727611341e-10 2.737520125659952e-15
124.952 124.954 35 40 3.247382911080855e-10 1.758744079974046e-15
124.954 124.956 0 5 1.239310430922228e-09 4.173362658436969e-14
124.954 124.956 5 10 2.137344676386735e-09 1.03921202783185e-15
124.954 124.956 10 15 1.813825952062404e-09 3.737530061327779e-14
124.954 124.956 15 20 1.348079528490386e-09 1.336366993708511e-14
124.954 124.956 20 25 9.693641254174443e-10 8.180476309044766e-15
124.954 124.956 25 30 6.893436271197474e-10 4.701075306102452e-15
124.954 124.956 30 35 4.863284728928641e-10 2.820404039213011e-15
124.954 124.956 35 40 3.390795557434418e-10 1.80993492099457e-15
124.956 124.958 0 5 1.296502391909739e-09 4.378043365069471e-14
124.956 124.958 5 10 2.235992536549869e-09 1.303573301133033e-15
124.956 124.958 10 15 1.897553774494906e-09 3.891279631242871e-14
124.956 124.958 15 20 1.410315643030742e-09 1.384261202609151e-14
124.956 124.958 20 25 1.01412132455854e-09 8.655414438154315e-15
124.956 124.958 25 30 7.211754329821124e-10 4.847804067803103e-15
124.956 124.958 30 35 5.087884462162883e-10 2.901076362251896e-15
124.956 124.958 35 40 3.547414642545548e-10 1.858977602191833e-15
124.958 124.96 0 5 1.359213784571927e-09 4.605856243561712e-14
124.958 124.96 5 10 2.344160588432822e-09 1.652812192510658e-15
124.958 124.96 10 15 1.989361882893579e-09 4.054770443700665e-14
124.958 124.96 15 20 1.478557941250958e-09 1.433011984455126e-14
124.958 124.96 20 25 1.063197873523601e-09 9.20298994320972e-15
124.958 124.96 25 30 7.560792034721632e-10 4.989473085534559e-15
124.958 124.96 30 35 5.33415941745697e-10 2.975980824879608e-15
124.958 124.96 35 40 3.71914838418123e-10 1.903307627351759e-15
124.96 124.962 0 5 1.428282148051395e-09 4.861494694147965e-14
124.96 124.962 5 10 2.463293456649113e-09 2.120454546431278e-15
124.96 124.962 10 15 2.090476402592021e-09 4.22771539467098e-14
124.96 124.962 15 20 1.55371781648841e-09 1.481442230029386e-14
124.96 124.962 20 25 1.117249200115401e-09 9.843560518290048e-15
124.96 124.962 25 30 7.945210847243305e-10 5.118637189292204e-15
124.96 124.962 30 35 5.605398631526504e-10 3.039535970388447e-15
124.96 124.962 35 40 3.908290302847267e-10 1.938927515934936e-15
124.962 124.964 0 5 1.504723025501167e-09 5.151160628126966e-14
124.962 124.964 5 10 2.595142793936743e-09 2.756037490838021e-15
124.962 124.964 10 15 2.202384048329529e-09 4.409008835173281e-14
124.962 124.964 15 20 1.636900360801839e-09 1.527563062875668e-14
124.962 124.964 20 25 1.177070030153986e-09 1.060583725318e-14
124.962 124.964 25 30 8.370662927172843e-10 5.223399017371426e-15
124.962 124.964 30 35 5.905590157583333e-10 3.082946316911386e-15
124.962 124.964 35 40 4.117621358157235e-10 1.959578695142903e-15
124.964 124.966 0 5 1.589779751793989e-09 5.483253954769604e-14
124.964 124.966 5 10 2.74185315657807e-09 3.634223569565686e-15
124.964 124.966 10 15 2.326905010584608e-09 4.596101932351154e-14
124.964 124.966 15 20 1.729458541982088e-09 1.568053222160713e-14
124.964 124.966 20 25 1.243633348668189e-09 1.153131255062766e-14
124.964 124.966 25 30 8.844068227540322e-10 5.28466795550496e-15
124.964 124.966 30 35 6.239616577119747e-10 3.092251124900834e-15
124.964 124.966 35 40 4.350546283242451e-10 1.955372094193954e-15
124.966 124.968 0 5 1.684990876476785e-09 5.869475586154595e-14
124.966 124.968 5 10 2.906078297528133e-09 4.870085296363998e-15
