#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 0 0
124.952 124.954 5 10 1.765964257566277e-09 2.389072077987944e-16
124.952 124.954 10 15 1.498718294474469e-09 3.142266941706099e-14
124.952 124.954 15 20 1.113913403663946e-09 1.143842802274505e-14
124.952 124.954 20 25 8.009992285670308e-10 6.481508398400147e-15
124.952 124.954 25 30 5.696256869580258e-10 4.086262486373834e-15
124.952 124.954 30 35 4.018765567277059e-10 2.472648235007411e-15
124.952 124.954 35 40 2.802046827919441e-10 1.594589566082316e-15
124.954 124.956 0 5 1.116904495789864e-09 3.726089424131024e-14
124.954 124.956 5 10 1.926346558817317e-09 3.100215421980757e-16
124.954 124.956 10 15 1.634839811217301e-09 3.423294709053561e-14
124.954 124.956 15 20 1.215091526640073e-09 1.244556139540154e-14
124.954 124.956 20 25 8.737593859437251e-10 7.092279634025153e-15
124.954 124.956 25 30 6.213717964980155e-10 4.44127037998207e-15
124.954 124.956 30 35 4.383863873266125e-10 2.685874128869261e-15
124.954 124.956 35 40 3.056628215254598e-10 1.731512316377918e-15
124.956 124.958 0 5 1.22313606873284e-09 4.084159610470489e-14
124.956 124.958 5 10 2.109578967780683e-09 4.070695873274282e-16
124.956 124.958 10 15 1.790355676223414e-09 3.742991604247016e-14
124.956 124.958 15 20 1.330685642123394e-09 1.358611500351253e-14
124.956 124.958 20 25 9.56886717182692e-10 7.797177694082839e-15
124.956 124.958 25 30 6.804910612835284e-10 4.841725528797011e-15
124.956 124.958 30 35 4.800985157864772e-10 2.925863254374485e-15
124.956 124.958 35 40 3.347485943836635e-10 1.88542267747585e-15
124.958 124.96 0 5 1.345254259669839e-09 4.497056769833929e-14
124.958 124.96 5 10 2.320213883606982e-09 5.414301414363467e-16
124.958 124.96 10 15 1.969129591791436e-09 4.108526136684967e-14
124.958 124.96 15 20 1.463567706160042e-09 1.488272260988302e-14
124.958 124.96 20 25 1.052446593141184e-09 8.617756953086693e-15
124.958 124.96 25 30 7.484523924582901e-10 5.294669649718798e-15
124.958 124.96 30 35 5.280493775161144e-10 3.196526479479815e-15
124.958 124.96 35 40 3.681847316379564e-10 2.058716915820252e-15
124.96 124.962 0 5 1.486589016812881e-09 4.976811342810858e-14
124.96 124.962 5 10 2.563995134485782e-09 7.304100670804423e-16
124.96 124.962 10 15 2.176036728229625e-09 4.528690503686343e-14
124.96 124.962 15 20 1.617361521263703e-09 1.636207174320709e-14
124.96 124.962 20 25 1.163045079334309e-09 9.582543898510525e-15
124.96 124.962 25 30 8.271092506918843e-10 5.808030979922528e-15
124.96 124.962 30 35 5.835467404964903e-10 3.502128546728879e-15
124.96 124.962 35 40 4.068831715189505e-10 2.253947257848381e-15
124.962 124.964 0 5 1.651389908142816e-09 5.539049721706323e-14
124.962 124.964 5 10 2.848252812244691e-09 1.000887198261439e-15
124.962 124.964 10 15 2.417298633684712e-09 5.014294877813399e-14
124.962 124.964 15 20 1.796691683375549e-09 1.805518671274466e-14
124.962 124.964 20 25 1.292007968300168e-09 1.073011253112707e-14
124.962 124.964 25 30 9.188269769975234e-10 6.390376843355587e-15
124.962 124.964 30 35 6.482595484873405e-10 3.84701675759769e-15
124.962 124.964 35 40 4.520077107820137e-10 2.473609149787004e-15
124.964 124.966 0 5 1.845148280244598e-09 6.204419152608555e-14
124.964 124.966 5 10 3.182458970850692e-09 1.395539292921877e-15
124.964 124.966 10 15 2.700954898432803e-09 5.578627792894555e-14
124.964 124.966 15 20 2.007534182217235e-09 1.999712109565689e-14
124.964 124.966 20 25 1.443632917076541e-09 1.211389701286084e-14
124.964 124.966 25 30 1.026662117329574e-09 7.050211604147015e-15
124.964 124.966 30 35 7.243444505450188e-10 4.234995817615215e-15
124.964 124.966 35 40 5.050622379439168e-10 2.719664177511801e-15
124.966 124.968 0 5 2.075059044405978e-09 7.000750939042633e-14
124.966 124.968 5 10 3.579024171755772e-09 1.983882033609416e-15
124.966 124.968 10 15 3.037539245266898e-09 6.237937896763525e-14
124.966 124.968 15 20 2.257718957343802e-09 2.22251977069734e-14
124.966 124.968 20 25 1.62355086535031e-09 1.381006096765474e-14
124.966 124.968 25 30 1.154619469691172e-09 7.794275706265986e-15
124.966 124.968 30 35 8.146271709363092e-10 4.667950247703281e-15
124.966 124.968 35 40 5.680172086540016e-10 2.992520718023237e-15
124.968 124.97 0 5 2.350695694619784e-09 7.966449218670867e-14
124.968 124.97 5 10 4.054461839064833e-09 2.882331649687792e-15
124.968 124.97 10 15 3.441067809975322e-09 7.011801177926817e-14
124.968 124.97 15 20 2.55766451412349e-09 2.477393838237912e-14
124.968 124.97 20 25 1.839254342230834e-09 1.593076690895662e-14
124.968 124.97 25 30 1.308027825835138e-09 8.623807460182597e-15
124.968 124.97 30 35 9.228676289971407e-10 5.142933817359395e-15
124.968 124.97 35 40 6.434945229801125e-10 3.288919954900503e-15
124.97 124.972 0 5 2.685018801584622e-09 9.156008111091927e-14
124.97 124.972 5 10 4.631127837576767e-09 4.292079322661867e-15
124.97 124.972 10 15 3.930515660712984e-09 7.922998652186362e-14
124.97 124.972 15 20 2.921475462095143e-09 2.766250203396295e-14
124.97 124.972 20 25 2.10088677314088e-09 1.86475839912876e-14
124.97 124.972 25 30 1.494101341614994e-09 9.526390761445721e-15
124.97 124.972 30 35 1.054156037257381e-09 5.646018476283194e-15
124.97 124.972 35 40 7.350437386782329e-10 3.597519496801201e-15
124.972 124.974 0 5 3.095920109489558e-09 1.064939987703627e-13
124.972 124.974 5 10 5.33988392922175e-09 6.573384752865309e-15
124.972 124.974 10 15 4.53207748962672e-09 8.995937556587857e-14
124.972 124.974 15 20 3.368622952186453e-09 3.08651513886059e-14
124.972 124.974 20 25 2.422450985903896e-09 2.223471940823351e-14
124.972 124.974 25 30 1.722799050750057e-09 1.045822366299555e-14
124.972 124.974 30 35 1.215519367599204e-09 6.1391709330568e-15
124.972 124.974 35 40 8.475649820469364e-10 3.889555019181343e-15
124.974 124.976 0 5 3.60865310101459e-09 1.256889357387841e-13
124.974 124.976 5 10 6.224290328488267e-09 1.039792348301987e-14
124.974 124.976 10 15 5.282726178986501e-09 1.025115472085003e-13
124.974 124.976 15 20 3.926589863931312e-09 3.424238109348679e-14
124.974 124.976 20 25 2.823711529736093e-09 2.715309018419675e-14
124.974 124.976 25 30 2.008177833447215e-09 1.130475221329669e-14
124.974 124.976 30 35 1.41687599621653e-09 6.53151458645085e-15
124.974 124.976 35 40 9.879746572484831e-10 4.098491607061084e-15
124.976 124.978 0 5 4.259781648066433e-09 1.511106884260555e-13
124.976 124.978 5 10 7.3474168579048e-09 1.707753185516476e-14
124.976 124.978 10 15 6.235993995050473e-09 1.168946983099822e-13
124.976 124.978 15 20 4.635168141502056e-09 3.737773428927532e-14
124.976 124.978 20 25 3.333285160036539e-09 3.422374520893998e-14
124.976 124.978 25 30 2.370590435262395e-09 1.179049585279245e-14
124.976 124.978 30 35 1.672586611459266e-09 6.614152388025678e-15
124.976 124.978 35 40 1.166286953115047e-09 4.074085362880275e-15
124.978 124.98 0 5 5.103832028677691e-09 1.861220001478056e-13
124.978 124.98 5 10 8.803317240963135e-09 2.931632386948081e-14
124.978 124.98 10 15 7.471711785958581e-09 1.324841889348145e-13
124.978 124.98 15 20 5.553698240589275e-09 3.917762669763966e-14
124.978 124.98 20 25 3.993847184698696e-09 4.500987324709922e-14
124.978 124.98 25 30 2.840388335397671e-09 1.126311523674834e-14
124.978 124.98 30 35 2.004066936352235e-09 5.905169450575288e-15
124.978 124.98 35 40 1.397435795680692e-09 3.473491942283591e-15
124.98 124.982 0 5 6.224981827336248e-09 2.369325393954336e-13
124.98 124.982 5 10 1.073719171336549e-08 5.305325455820373e-14
124.98 124.982 10 15 9.11312270751746e-09 1.468139556375575e-13
124.98 124.982 15 20 6.773790301903252e-09 3.683920057824288e-14
124.98 124.982 20 25 4.871280076175438e-09 6.272421766223182e-14
124.98 124.982 25 30 3.464428447796231e-09 8.145738720874644e-15
124.98 124.982 30 35 2.44437882390347e-09 3.258668111460963e-15
124.98 124.982 35 40 1.704476400447027e-09 1.48717641258842e-15
124.982 124.984 0 5 7.758643952378353e-09 3.161389755988757e-13
124.982 124.984 5 10 1.338261813098143e-08 1.023564204191165e-13
124.982 124.984 10 15 1.135848347637391e-08 1.520763592315414e-13
124.982 124.984 15 20 8.442814384401683e-09 2.300244619050693e-14
124.982 124.984 20 25 6.07156681965969e-09 9.458106751036948e-14
124.982 124.984 25 30 4.318088067002269e-09 1.555896778347903e-15
124.982 124.984 30 35 3.046707950763164e-09 4.197055305773371e-15
124.982 124.984 35 40 2.124497110452642e-09 3.904107043974401e-15
124.984 124.986 0 5 9.933750370738457e-09 4.524015079323414e-13
124.984 124.986 5 10 1.713448892168781e-08 2.137502057904372e-13
124.984 124.986 10 15 1.454297233574869e-08 1.242374063165244e-13
124.984 124.986 15 20 1.080991870221492e-08 2.282068155910048e-14
124.984 124.986 20 25 7.773885635672216e-09 1.585526709629724e-13
124.984 124.986 25 30 5.528802636958188e-09 2.870790159073878e-14
124.984 124.986 30 35 3.900971982081847e-09 2.421881503890224e-14
124.984 124.986 35 40 2.720200954553624e-09 1.813750100646346e-14
124.986 124.988 0 5 1.316174058447634e-08 7.206953704485648e-13
124.986 124.988 5 10 2.270251119261888e-08 4.934510711254076e-13
124.986 124.988 10 15 1.926897819770277e-08 1.438681152954799e-14
124.986 124.988 15 20 1.432287794442891e-08 1.630675998754345e-13
124.986 124.988 20 25 1.030025999607106e-08 3.053356934982723e-13
124.986 124.988 25 30 7.325602586480052e-09 1.059370111921549e-13
124.986 124.988 30 35 5.168773621950141e-09 7.998799994347465e-14
124.986 124.988 35 40 3.604279882009116e-09 5.742803113439259e-14
124.988 124.99 0 5 1.824115511926103e-08 1.353615103210918e-12
124.988 124.99 5 10 3.146411955296734e-08 1.298085513524928e-12
124.988 124.99 10 15 2.670564949379663e-08 5.424345868376262e-13
124.988 124.99 15 20 1.985075827270667e-08 6.139058266458246e-13
124.988 124.99 20 25 1.42756918434555e-08 7.015627525949953e-13
124.988 124.99 25 30 1.015300422565787e-08 3.451384799681144e-13
124.988 124.99 30 35 7.163761797358246e-09 2.507646723474211e-13
124.988 124.99 35 40 4.995454076666386e-09 1.771415076520288e-13
124.99 124.992 0 5 2.688265234976014e-08 6.697975488968549e-13
124.99 124.992 5 10 4.637126714953043e-08 4.071524467525267e-12
124.99 124.992 10 15 3.935856388859681e-08 2.634348539948631e-12
124.99 124.992 15 20 2.925603995845846e-08 2.267522292686111e-12
124.99 124.992 20 25 2.103961338066699e-08 2.012566470491617e-12
124.99 124.992 25 30 1.496364533530685e-08 1.205458807383689e-12
124.99 124.992 30 35 1.055811498301854e-08 8.611669508472146e-13
124.99 124.992 35 40 7.36246187828721e-09 6.038432505914247e-13
124.992 124.994 0 5 4.326719392631095e-08 1.058350512133042e-12
124.992 124.994 5 10 7.463427546596602e-08 2.936166616684151e-14
124.992 124.994 10 15 6.334879652514698e-08 1.025625221871137e-12
124.992 124.994 15 20 4.708835384912463e-08 3.852525153118701e-13
124.992 124.994 20 25 3.386350213371569e-08 1.883678567611299e-13
124.992 124.994 25 30 2.408456246514997e-08 1.412278680874109e-13
124.992 124.994 30 35 1.69937732790196e-08 8.665663055934643e-14
124.992 124.994 35 40 1.185029543644881e-08 5.632512560258334e-14
124.994 124.996 0 5 7.951862688585452e-08 1.781405446033489e-12
124.994 124.996 5 10 1.371674787599306e-07 2.918957943014966e-13
124.994 124.996 10 15 1.164270879029823e-07 2.06296600296204e-12
124.994 124.996 15 20 8.654291031186255e-08 8.493766736550676e-13
124.994 124.996 20 25 6.223747653037152e-08 2.334258662338402e-13
124.994 124.996 25 30 4.426506866288756e-08 3.33178459449561e-13
124.994 124.996 30 35 3.123306539344442e-08 2.115181627153211e-13
124.994 124.996 35 40 2.177994630816279e-08 1.400537424024682e-13
124.996 124.998 0 5 1.774252356492206e-07 1.416225071531495e-12
124.996 124.998 5 10 3.060557784340642e-07 4.862869078470016e-12
124.996 124.998 10 15 2.597804013018329e-07 8.068909511306097e-12
124.996 124.998 15 20 1.931017101263399e-07 4.51240931409584e-12
124.996 124.998 20 25 1.38870065097327e-07 1.4119047817575e-12
124.996 124.998 25 30 9.876888401591432e-08 2.08809178385874e-12
124.996 124.998 30 35 6.969089148220813e-08 1.422143339464826e-12
124.996 124.998 35 40 4.859829675506412e-08 9.755298107339131e-13
124.998 125 0 5 4.170148900229667e-07 1.101866493113223e-11
124.998 125 5 10 7.193488478116752e-07 3.585674383727708e-11
124.998 125 10 15 6.10587932032933e-07 3.952531189321765e-11
124.998 125 15 20 4.538687247653684e-07 2.595420995725445e-11
124.998 125 20 25 3.264035436221671e-07 1.443694187952374e-11
124.998 125 25 30 2.321499917858958e-07 1.276789994017695e-11
124.998 125 30 35 1.638049243848313e-07 8.890855922513324e-12
124.998 125 35 40 1.142285904034832e-07 6.162602367227864e-12
125 125.002 0 5 4.170564519953264e-07 1.103098836948906e-11
125 125.002 5 10 7.194248144433176e-07 3.588078600785233e-11
125 125.002 10 15 6.106562721319111e-07 3.954787671096031e-11
125 125.002 15 20 4.539219958089266e-07 2.597156691674654e-11
125 125.002 20 25 3.264435019782056e-07 1.444962290925051e-11
125 125.002 25 30 2.321795948931585e-07 1.277756914237476e-11
125 125.002 30 35 1.638267226899027e-07 8.897989876458281e-12
125 125.002 35 40 1.142445378606803e-07 6.167838461454074e-12
