#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.956 0 5 0 0
124.952 124.956 5 10 7.384602293502879e-09 1.744478898607916e-14
124.952 124.956 10 15 6.267100663847902e-09 1.17255020766441e-13
124.952 124.956 15 20 4.657997648506814e-09 3.739384022951093e-14
124.952 124.956 20 25 3.349507950070464e-09 3.451876039408483e-14
124.952 124.956 25 30 2.381988181287142e-09 1.176287869509898e-14
124.952 124.956 30 35 1.680520894199768e-09 6.586726189112523e-15
124.952 124.956 35 40 1.171731359094493e-09 4.052815348556156e-15
124.952 124.956 40 45 8.005377366745275e-10 2.728952319156074e-15
124.952 124.956 45 50 5.279303152280633e-10 2.001139036716232e-15
124.952 124.956 50 55 3.265959648980219e-10 1.582611157583178e-15
124.952 124.956 55 60 1.773308173642067e-10 1.330134332740817e-15
124.952 124.956 60 65 6.649835517970612e-11 1.150795359431448e-15
124.952 124.956 65 70 -1.569837336515373e-11 9.997249917681176e-16
124.952 124.956 70 75 -7.638116482704258e-11 9.095545671904963e-16
124.952 124.956 75 80 -1.207863689596414e-10 8.482980116922387e-16
124.952 124.956 80 85 -1.528039004168381e-10 8.03011922753422e-16
124.952 124.956 85 90 -1.753528520913175e-10 7.666337503356395e-16
124.952 124.956 90 95 -1.906412095294802e-10 7.346796447273945e-16
124.952 124.956 95 100 -2.003532681995127e-10 7.055464118473762e-16
124.956 124.96 0 5 5.136858172706908e-09 2.512705207940983e-13
124.956 124.96 5 10 8.859562820649268e-09 3.010196643132365e-14
124.956 124.96 10 15 7.518950387971659e-09 1.328305541800646e-13
124.956 124.96 15 20 5.588490846162384e-09 3.90565671093461e-14
124.956 124.96 20 25 4.018654553264296e-09 4.556020375886882e-14
124.956 124.96 25 30 2.857878089804e-09 1.114752942103258e-14
124.956 124.96 30 35 2.016289293811738e-09 5.811723324132219e-15
124.956 124.96 35 40 1.405861904713045e-09 3.405150167784691e-15
124.956 124.96 40 45 9.605139403844309e-10 2.278735340542365e-15
124.956 124.96 45 50 6.33444682033596e-10 1.744594036627752e-15
124.956 124.96 50 55 3.918857511851742e-10 1.492803576401638e-15
124.956 124.96 55 60 2.127975365200964e-10 1.375435005985357e-15
124.956 124.96 60 65 7.981969503559149e-11 1.298027495754638e-15
124.956 124.96 65 70 -1.880167685240374e-11 1.218930232513581e-15
124.956 124.96 70 75 -9.161100254697958e-11 1.186147448433483e-15
124.956 124.96 75 80 -1.448906558220884e-10 1.167818791406526e-15
124.956 124.96 80 85 -1.833076286766694e-10 1.153248188705597e-15
124.956 124.96 85 90 -2.103641675872766e-10 1.13758939253063e-15
124.956 124.96 90 95 -2.287093633009026e-10 1.11824143043238e-15
124.956 124.96 95 100 -2.403640036359473e-10 1.095329546034188e-15
124.96 124.964 0 5 6.276050992390368e-09 3.173209832297951e-13
124.96 124.964 5 10 1.082446538671156e-08 5.484580402223188e-14
124.96 124.964 10 15 9.186643906907056e-09 1.468602001656277e-13
124.96 124.964 15 20 6.828085274654508e-09 3.628934872942399e-14
124.96 124.964 20 25 4.910089967441142e-09 6.383743183481769e-14
124.96 124.964 25 30 3.491860683164947e-09 7.782117715046405e-15
124.96 124.964 30 35 2.463603904878445e-09 2.983847948710276e-15
124.96 124.964 35 40 1.717775419772898e-09 1.290762489461448e-15
124.96 124.964 40 45 1.17363930691875e-09 8.23983784685432e-16
124.96 124.964 45 50 7.740159258946439e-10 8.390606171132564e-16
124.96 124.964 50 55 4.788695656040493e-10 1.024421143263184e-15
124.96 124.964 55 60 2.600507257313651e-10 1.246443331438519e-15
124.96 124.964 60 65 9.75704346820362e-11 1.423163124864287e-15
124.96 124.964 65 70 -2.293223182951511e-11 1.527719148584723e-15
124.96 124.964 70 75 -1.118969029483466e-10 1.636166795775696e-15
124.96 124.964 75 80 -1.769994557179422e-10 1.722415846181752e-15
124.96 124.964 80 85 -2.23942099419661e-10 1.782939787973999e-15
124.96 124.964 85 90 -2.57003955460588e-10 1.818959735429403e-15
124.96 124.964 90 95 -2.794217545165059e-10 1.832694963053041e-15
124.96 124.964 95 100 -2.936645600418293e-10 1.82844484862986e-15
124.964 124.968 0 5 7.840528567837495e-09 4.183614339540074e-13
124.964 124.968 5 10 1.352292423916901e-08 1.067924485698839e-13
124.964 124.968 10 15 1.147695140871559e-08 1.508247431245396e-13
124.964 124.968 15 20 8.530477153708535e-09 2.11377553456058e-14
124.964 124.968 20 25 6.134345277763498e-09 9.707355366883414e-14
124.964 124.968 25 30 4.362546928726303e-09 2.640548032978227e-15
124.964 124.968 30 35 3.077931267401027e-09 4.991291293971617e-15
124.964 124.968 35 40 2.146150127661341e-09 4.46533014384688e-15
124.964 124.968 40 45 1.466343142589502e-09 3.122392670423136e-15
124.964 124.968 45 50 9.670770780475863e-10 1.689423393365074e-15
124.964 124.968 50 55 5.983357979534073e-10 4.136656306872614e-16
124.964 124.968 55 60 3.24952228927845e-10 6.377198782000194e-16
124.964 124.968 60 65 1.219540739481555e-10 1.433169668592488e-15
124.964 124.968 65 70 -2.859991530121458e-11 1.989963497833116e-15
124.964 124.968 70 75 -1.397521345586694e-10 2.440013532971825e-15
124.964 124.968 75 80 -2.210922224953971e-10 2.777932471883828e-15
124.964 124.968 80 85 -2.79744102535385e-10 3.019463688879284e-15
124.964 124.968 85 90 -3.210538183996772e-10 3.181299159789208e-15
124.964 124.968 90 95 -3.490651385379539e-10 3.277660870882148e-15
124.964 124.968 95 100 -3.668627690592773e-10 3.322647370099144e-15
124.968 124.972 0 5 1.007157129081376e-08 5.884050887793547e-13
124.968 124.972 5 10 1.737111893587731e-08 2.259247796751209e-13
124.968 124.972 10 15 1.474311410759399e-08 1.181308939050737e-13
124.968 124.972 15 20 1.095823812135591e-08 2.892660127082691e-14
124.968 124.972 20 25 7.880250113305186e-09 1.648797345461112e-13
124.968 124.972 25 30 5.604234968097434e-09 3.204863882827038e-14
124.968 124.972 30 35 3.954030096577856e-09 2.662385428434315e-14
124.968 124.972 35 40 2.757063900373666e-09 1.98263887879742e-14
124.968 124.972 40 45 1.883777462542364e-09 1.363645410622059e-14
124.968 124.972 45 50 1.24241103145926e-09 8.517407495508997e-15
124.968 124.972 50 55 7.687156990056688e-10 4.457815147184061e-15
124.968 124.972 55 60 4.175168162652293e-10 1.312731000323815e-15
124.968 124.972 60 65 1.567354768458379e-10 1.041444156439303e-15
124.968 124.972 65 70 -3.667540094440589e-11 2.744789425085144e-15
124.968 124.972 70 75 -1.794699786018118e-10 4.052293441637003e-15
124.968 124.972 75 80 -2.839670870834918e-10 5.020023129394383e-15
124.968 124.972 80 85 -3.593181435340139e-10 5.715046543356078e-15
124.968 124.972 85 90 -4.123907232162354e-10 6.193871161238361e-15
124.968 124.972 90 95 -4.483795086896778e-10 6.501331948508572e-15
124.968 124.972 95 100 -4.712471739527393e-10 6.675775962372654e-15
124.972 124.976 0 5 1.340932869530626e-08 9.163654466203232e-13
124.972 124.976 5 10 2.312825688036725e-08 5.316690525088543e-13
124.972 124.976 10 15 1.962952753543698e-08 3.92471510974302e-14
124.972 124.976 15 20 1.459036225419778e-08 1.843462783324801e-13
124.972 124.976 20 25 1.049227616545582e-08 3.241053229344549e-13
124.972 124.976 25 30 7.461918308215764e-09 1.17205195433056e-13
124.972 124.976 30 35 5.264764554336742e-09 8.802254828829888e-14
124.972 124.976 35 40 3.67106009941763e-09 6.30503264574147e-14
124.972 124.976 40 45 2.508311730391283e-09 4.319564459103565e-14
124.972 124.976 45 50 1.654350148727265e-09 2.785252339075159e-14
124.972 124.976 50 55 1.023633374551738e-09 1.615023946628407e-14
124.972 124.976 55 60 5.560147808785104e-10 7.294560960478213e-15
