#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 2.781031492741595e-10 1.780888783341605e-14
124.952 124.954 5 10 5.712067752722461e-10 2.327175045071686e-16
124.952 124.954 10 15 6.052656414473449e-10 7.797840247348725e-15
124.952 124.954 15 20 5.542872493134917e-10 3.118380276075775e-15
124.952 124.954 20 25 4.84195374801121e-10 2.228758715719959e-15
124.952 124.954 25 30 4.15639365503104e-10 1.270543089330849e-15
124.952 124.954 30 35 3.545719742435564e-10 7.915965320498806e-16
124.952 124.954 35 40 3.020226766024418e-10 5.183980325399746e-16
124.954 124.956 0 5 2.904637653703026e-10 6.322616393813602e-15
124.954 124.956 5 10 5.965402345975295e-10 2.890895686729618e-16
124.954 124.956 10 15 6.321123929390485e-10 8.094166322065365e-15
124.954 124.956 15 20 5.788749198988367e-10 3.211713286810849e-15
124.954 124.956 20 25 5.056753777735848e-10 2.366464245020399e-15
124.954 124.956 25 30 4.340792389550305e-10 1.293273349526847e-15
124.954 124.956 30 35 3.703034967908035e-10 7.980512325252063e-16
124.954 124.956 35 40 3.154234328255635e-10 5.169970364263008e-16
124.956 124.958 0 5 3.039398104891196e-10 6.644551125507119e-15
124.956 124.958 5 10 6.242193825902055e-10 3.626551729946149e-16
124.956 124.958 10 15 6.614449532456898e-10 8.40513994614996e-15
124.956 124.958 15 20 6.057392255645273e-10 3.302027086552345e-15
124.956 124.958 20 25 5.291442691547833e-10 2.52704341908989e-15
124.956 124.958 25 30 4.542265077329213e-10 1.309378010941231e-15
124.956 124.958 30 35 3.874916416577974e-10 7.976598988057802e-16
124.956 124.958 35 40 3.300649998333758e-10 5.091279239500427e-16
124.958 124.96 0 5 3.187238715306722e-10 7.00566709508676e-15
124.958 124.96 5 10 6.545851331052184e-10 4.598490886332566e-16
124.958 124.96 10 15 6.93624600865794e-10 8.72869792384266e-15
124.958 124.96 15 20 6.352110442807428e-10 3.38505467817248e-15
124.958 124.96 20 25 5.548911068600422e-10 2.717151482294514e-15
124.958 124.96 25 30 4.763293185938371e-10 1.315026395194184e-15
124.958 124.96 30 35 4.063481091641799e-10 7.869819485622202e-16
124.958 124.96 35 40 3.461277126776659e-10 4.917679056308955e-16
124.96 124.962 0 5 3.350156523154813e-10 7.41471528799626e-15
124.96 124.962 5 10 6.880476684306977e-10 5.900084038881493e-16
124.96 124.962 10 15 7.29086020534056e-10 9.06066197137862e-15
124.96 124.962 15 20 6.676884833392148e-10 3.454111961419696e-15
124.96 124.962 20 25 5.832636809352025e-10 2.94614639476834e-15
124.96 124.962 25 30 5.006862379150735e-10 1.304447893566949e-15
124.96 124.962 30 35 4.271276138959367e-10 7.608869852272852e-16
124.96 124.962 35 40 3.638285477371485e-10 4.604362292902626e-16
124.962 124.964 0 5 3.530575815155005e-10 7.883512014234319e-15
124.962 124.964 5 10 7.251049257321804e-10 7.66930727846935e-16
124.962 124.964 10 15 7.683568939742112e-10 9.393341747899735e-15
124.962 124.964 15 20 7.036548216043472e-10 3.498691354961129e-15
124.962 124.964 20 25 6.146841880662551e-10 3.227473909643004e-15
124.962 124.964 25 30 5.276597077527041e-10 1.268843584620416e-15
124.962 124.964 30 35 4.50139364413886e-10 7.116171365557702e-16
124.962 124.964 35 40 3.83430901607789e-10 4.083905283844312e-16
124.964 124.966 0 5 3.731468490230103e-10 8.428425940971357e-15
124.964 124.966 5 10 7.663673192120658e-10 1.011415981887764e-15
124.964 124.966 10 15 8.120840988674349e-10 9.713180565738249e-15
124.964 124.966 15 20 7.43702503919065e-10 3.502136180571957e-15
124.964 124.966 20 25 6.49670193304907e-10 3.580907869003888e-15
124.964 124.966 25 30 5.576940408048632e-10 1.194597361718491e-15
124.964 124.966 30 35 4.757624152184934e-10 6.272486296898873e-16
124.964 124.966 35 40 4.052576685414668e-10 3.253098020421674e-16
124.966 124.968 0 5 3.95651739588741e-10 9.072789886673021e-15
124.966 124.968 5 10 8.125912886713816e-10 1.355526614236249e-15
124.966 124.968 10 15 8.610692614835322e-10 9.996699768127573e-15
124.966 124.968 15 20 7.885657020919968e-10 3.437697195577135e-15
124.966 124.968 20 25 6.8886307563549e-10 4.03627750196076e-15
124.966 124.968 25 30 5.913398400122096e-10 1.06025786752457e-15
124.966 124.968 30 35 5.044664997382808e-10 4.891004649801301e-16
124.966 124.968 35 40 4.297089868477221e-10 1.950783117633119e-16
124.968 124.97 0 5 4.210341595079697e-10 9.850935599368506e-15
124.968 124.97 5 10 8.647255683233668e-10 1.84992197367652e-15
124.968 124.97 10 15 9.163177894319851e-10 1.020335710894327e-14
124.968 124.97 15 20 8.39165221695071e-10 3.261677229093308e-15
124.968 124.97 20 25 7.330672589508376e-10 4.639844111082896e-15
124.968 124.97 25 30 6.292876770866579e-10 8.313141227890759e-16
124.968 124.97 30 35 5.368407623485234e-10 2.672547024870328e-16
124.968 124.97 35 40 4.572867140172717e-10 8.042613816536228e-18
124.97 124.972 0 5 4.498812670563236e-10 1.081519070431291e-14
124.97 124.972 5 10 9.239761543184282e-10 2.57689727335219e-15
124.97 124.972 10 15 9.791077201313122e-10 1.026261110334703e-14
124.97 124.972 15 20 8.966715571493e-10 2.901144113513943e-15
124.97 124.972 20 25 7.833052975327589e-10 5.465577092733675e-15
124.97 124.972 25 30 6.724153816257746e-10 4.508645918603592e-16
124.97 124.972 30 35 5.736341019320982e-10 8.743570638080604e-17
124.97 124.972 35 40 4.886287930392787e-10 3.262393192170576e-16
124.972 124.974 0 5 4.829507834100674e-10 1.204849369853656e-14
124.972 124.974 5 10 9.918993714058511e-10 3.674395409071505e-15
124.972 124.974 10 15 1.051088346982724e-09 1.004973221402689e-14
124.972 124.974 15 20 9.625952188156206e-10 2.231150775950687e-15
124.972 124.974 20 25 8.408967865961406e-10 6.635826884363553e-15
124.972 124.974 25 30 7.218557832860425e-10 1.776319963274953e-16
124.972 124.974 30 35 6.158129644738646e-10 6.581076730196858e-16
124.972 124.974 35 40 5.245584825305544e-10 8.307435594519309e-16
124.974 124.976 0 5 5.212373750923105e-10 1.368814397718796e-14
124.974 124.976 5 10 1.070538219634611e-09 5.382024012295539e-15
124.974 124.976 10 15 1.134424711029614e-09 9.338867657404263e-15
124.974 124.976 15 20 1.03891906613724e-09 1.030837989834029e-15
124.974 124.976 20 25 9.075739696877173e-10 8.360797370902383e-15
124.974 124.976 25 30 7.790959570430518e-10 1.223517742467034e-15
124.974 124.976 30 35 6.646460117546599e-10 1.590243853827056e-15
124.974 124.976 35 40 5.661564810451111e-10 1.646021823228433e-15
124.976 124.978 0 5 5.660724019594961e-10 1.597275412721802e-14
124.976 124.978 5 10 1.162627252518326e-09 8.133372048323332e-15
124.976 124.978 10 15 1.232014718011636e-09 7.707940044220757e-15
124.976 124.978 15 20 1.128297154982077e-09 1.105022057660943e-15
124.976 124.978 20 25 9.856554534703057e-10 1.101749612664061e-14
124.976 124.978 25 30 8.461263518105523e-10 2.995630928500169e-15
124.976 124.978 30 35 7.218313468343233e-10 3.148669218565789e-15
124.976 124.978 35 40 6.148693030294075e-10 2.998378469495744e-15
124.978 124.98 0 5 6.192781730533996e-10 1.934034892662248e-14
124.978 124.98 5 10 1.271909412202545e-09 1.275119073221047e-14
124.978 124.98 10 15 1.347824900553427e-09 4.335987580214775e-15
124.978 124.98 15 20 1.234362246512303e-09 4.953708108748157e-15
124.978 124.98 20 25 1.078314850159038e-09 1.531625553121401e-14
124.978 124.98 25 30 9.256714114760375e-10 6.083603945583231e-15
124.978 124.98 30 35 7.896932628368108e-10 5.83824341120441e-15
124.978 124.98 35 40 6.726768776284806e-10 5.318844281053347e-15
124.98 124.982 0 5 6.834144587344008e-10 2.464680111958661e-14
124.98 124.982 5 10 1.4036423555207e-09 2.088609760216627e-14
124.98 124.982 10 15 1.487426991227021e-09 2.455149791941861e-15
124.98 124.982 15 20 1.362217229337901e-09 1.208756619422538e-14
124.98 124.982 20 25 1.190010088182127e-09 2.267431674239369e-14
124.98 124.982 25 30 1.021558124617736e-09 1.167596099548074e-14
124.98 124.982 30 35 8.714966622967263e-10 1.067546895556339e-14
124.98 124.982 35 40 7.423603841961425e-10 9.474664309863329e-15
124.982 124.984 0 5 7.621875582582614e-10 3.368972279755596e-14
124.982 124.984 5 10 1.565438663042967e-09 3.607639563703982e-14
124.982 124.984 10 15 1.658888324660695e-09 1.631319757901823e-14
124.982 124.984 15 20 1.519250597138385e-09 2.58980884565195e-14
124.982 124.984 20 25 1.327195820446683e-09 3.611703717947595e-14
124.982 124.984 25 30 1.139327604820686e-09 2.232951406365458e-14
124.982 124.984 30 35 9.71968812282707e-10 1.984525380175748e-14
124.982 124.984 35 40 8.279467051134701e-10 1.732894914526523e-14
124.984 124.986 0 5 8.611591535602299e-10 5.058067415231674e-14
124.984 124.986 5 10 1.768721798895392e-09 6.653908341468149e-14
124.984 124.986 10 15 1.874314775737706e-09 4.579496896356142e-14
124.984 124.986 15 20 1.716549553552257e-09 5.429703062771419e-14
124.984 124.986 20 25 1.499557924761402e-09 6.264867428354121e-14
124.984 124.986 25 30 1.287294871312505e-09 4.399739111305052e-14
124.984 124.986 30 35 1.098203471030792e-09 3.843168930812517e-14
124.984 124.986 35 40 9.354785987421163e-10 3.321533968874966e-14
124.986 124.988 0 5 9.890369035358931e-10 8.57431128074036e-14
124.986 124.988 5 10 2.031376948050436e-09 1.333332664157034e-13
124.986 124.988 10 15 2.152659959590544e-09 1.129854037889118e-13
124.986 124.988 15 20 1.971472826957459e-09 1.176257816297029e-13
124.986 124.988 20 25 1.72226113620987e-09 1.201814079269267e-13
124.986 124.988 25 30 1.478478373385399e-09 9.196469156121631e-14
124.986 124.988 30 35 1.261307016102495e-09 7.948295175929852e-14
124.986 124.988 35 40 1.074416940630397e-09 6.825302682223523e-14
124.988 124.99 0 5 1.160137866663294e-09 1.838005640315726e-14
124.988 124.99 5 10 2.382848876773389e-09 3.103671605918769e-16
124.988 124.99 10 15 2.525152837738845e-09 2.551683791883397e-14
124.988 124.99 15 20 2.312608963782297e-09 1.07727046806325e-14
124.988 124.99 20 25 2.020265142355898e-09 6.098569000164303e-15
124.988 124.99 25 30 1.734315201101947e-09 4.734661771534171e-15
124.988 124.99 30 35 1.479567074017661e-09 3.123811994274244e-15
124.988 124.99 35 40 1.260339407982207e-09 2.172712669903353e-15
124.99 124.992 0 5 1.399491764632418e-09 2.162447894969556e-14
124.99 124.992 5 10 2.874479191260328e-09 1.164170482725431e-15
124.99 124.992 10 15 3.046156800028791e-09 3.139695275273339e-14
124.99 124.992 15 20 2.789769552427741e-09 1.366976090292118e-14
124.99 124.992 20 25 2.437113714558719e-09 6.631397579923925e-15
124.99 124.992 25 30 2.092168396233385e-09 6.246686509605106e-15
124.99 124.992 30 35 1.784860690917236e-09 4.232912921101512e-15
124.99 124.992 35 40 1.520401089715981e-09 3.021027392867013e-15
124.992 124.994 0 5 1.753123756406201e-09 2.462174210324046e-14
124.992 124.994 5 10 3.600836137329161e-09 5.755819603735591e-15
124.992 124.994 10 15 3.815912274499647e-09 4.337594538159159e-14
124.992 124.994 15 20 3.49474892860418e-09 2.108317936755197e-14
124.992 124.994 20 25 3.052985343677876e-09 4.535257495987434e-15
124.992 124.994 25 30 2.620877723203261e-09 1.086180736191558e-14
124.992 124.994 30 35 2.235916100830172e-09 7.91158819409523e-15
124.992 124.994 35 40 1.904628756626388e-09 6.016723630585266e-15
124.994 124.996 0 5 2.304400526456745e-09 1.47779982163794e-14
124.994 124.996 5 10 4.733155784912079e-09 4.159835846340911e-14
124.994 124.996 10 15 5.015887786662306e-09 9.169935399290112e-14
124.994 124.996 15 20 4.593745112957132e-09 6.016774800143395e-14
124.994 124.996 20 25 4.013071127609685e-09 2.324093547853613e-14
124.994 124.996 25 30 3.445086438707423e-09 3.879967850380784e-14
124.994 124.996 30 35 2.939069900421043e-09 3.136984905003437e-14
124.994 124.996 35 40 2.503604531554183e-09 2.579864804768753e-14
124.996 124.998 0 5 3.094616407357173e-09 1.723388767653373e-13
124.996 124.998 5 10 6.356263883970395e-09 4.442346437295839e-13
124.996 124.998 10 15 6.735983978177313e-09 5.305001482212029e-13
124.996 124.998 15 20 6.169095760530024e-09 4.559758673271779e-13
124.996 124.998 20 25 5.389302589300951e-09 3.615531310641806e-13
124.996 124.998 25 30 4.626548616196716e-09 3.340242134308317e-13
124.996 124.998 30 35 3.947007466562254e-09 2.827899261428455e-13
124.996 124.998 35 40 3.36220913418614e-09 2.397313096194649e-13
124.998 125 0 5 2.462798922388758e-09 1.499675840348857e-14
124.998 125 5 10 5.0585849577369e-09 2.499787274758798e-16
124.998 125 10 15 5.360828769261891e-09 2.081570287498845e-14
124.998 125 15 20 4.909674085095105e-09 8.786432794847607e-15
124.998 125 20 25 4.289071714241661e-09 4.978677768598438e-15
124.998 125 25 30 3.682053616491151e-09 3.860802588770782e-15
124.998 125 30 35 3.141244550731487e-09 2.546831851917494e-15
124.998 125 35 40 2.675835001830395e-09 1.771107348987329e-15
125 125.002 0 5 -2.347415488478628e-09 1.4155530105193e-14
125 125.002 5 10 -4.821615701552432e-09 2.489882564473251e-16
125 125.002 10 15 -5.10973076855009e-09 1.967073506758299e-14
125 125.002 15 20 -4.679730251085287e-09 8.309930342295448e-15
125 125.002 20 25 -4.08821022468801e-09 4.690593229953197e-15
125 125.002 25 30 -3.509632066475053e-09 3.655345646359562e-15
125 125.002 30 35 -2.994157552633904e-09 2.413128825331855e-15
125 125.002 35 40 -2.550548322296677e-09 1.679390553216233e-15
125.002 125.004 0 5 -3.045725988727018e-09 1.723619647270196e-13
125.002 125.004 5 10 -6.255928630814395e-09 4.427589728521361e-13
125.002 125.004 10 15 -6.629744651853289e-09 5.279383146051526e-13
125.002 125.004 15 20 -6.071865240557992e-09 4.541543225936045e-13
125.002 125.004 20 25 -5.304412634255556e-09 3.605997143951848e-13
125.002 125.004 25 30 -4.553711423184663e-09 3.328116796696888e-13
125.002 125.004 30 35 -3.884898148016114e-09 2.817991435724296e-13
125.002 125.004 35 40 -3.309325644258694e-09 2.389123467265922e-13
125.004 125.006 0 5 -2.282643999582592e-09 1.447273064907934e-14
125.004 125.006 5 10 -4.688571603883981e-09 4.151971183641399e-14
125.004 125.006 10 15 -4.968750060131432e-09 9.11533655829502e-14
125.004 125.006 15 20 -4.550657457757874e-09 5.990310825860673e-14
125.004 125.006 20 25 -3.975491446349916e-09 2.32975411344744e-14
125.004 125.006 25 30 -3.412872135295544e-09 3.866579811274167e-14
125.004 125.006 30 35 -2.911623443445928e-09 3.127351460906998e-14
125.004 125.006 35 40 -2.480253417961865e-09 2.57263756976538e-14
125.006 125.008 0 5 -1.74140908102758e-09 2.44356538029081e-14
125.006 125.008 5 10 -3.576883950414848e-09 5.749367616050783e-15
125.006 125.008 10 15 -3.790645793291517e-09 4.311570808671746e-14
125.006 125.008 15 20 -3.471696967120469e-09 2.097261495381266e-14
125.006 125.008 20 25 -3.032912561253797e-09 4.475791256757871e-15
125.006 125.008 25 30 -2.603695397178739e-09 1.081320618428606e-14
125.006 125.008 30 35 -2.221295964541812e-09 7.879519555249913e-15
125.006 125.008 35 40 -1.892205348146878e-09 5.99446035970188e-15
125.008 125.01 0 5 -1.392315041819174e-09 2.150693938383097e-14
125.008 125.01 5 10 -2.8598505691945e-09 1.163456324763055e-15
125.008 125.01 10 15 -3.030773777608513e-09 3.123979000799148e-14
125.008 125.01 15 20 -2.775771487299027e-09 1.36045784903848e-14
125.008 125.01 20 25 -2.424952029408079e-09 6.592536997464883e-15
125.008 125.01 25 30 -2.081778737086233e-09 6.218809189960512e-15
125.008 125.01 30 35 -1.776036487376886e-09 4.214844081065518e-15
125.008 125.01 35 40 -1.5129156398914e-09 3.008690289334263e-15
125.01 125.012 0 5 -1.155354568184336e-09 1.830025361878894e-14
125.01 125.012 5 10 -2.373137696089656e-09 3.102952678432981e-16
125.01 125.012 10 15 -2.514982525856143e-09 2.541213467323669e-14
125.01 125.012 15 20 -2.303386060866751e-09 1.072955687813406e-14
125.01 125.012 20 25 -2.0122758733263e-09 6.072475984788012e-15
125.01 125.012 25 30 -1.727508070323457e-09 4.71633402644799e-15
125.01 125.012 30 35 -1.473799700250345e-09 3.111971160024742e-15
125.01 125.012 35 40 -1.255458276417286e-09 2.164649007028564e-15
125.012 125.014 0 5 -9.856602755352084e-10 8.563015964329339e-14
125.012 125.014 5 10 -2.024555969133403e-09 1.332734808070025e-13
125.012 125.014 10 15 -2.145553456612426e-09 1.130379671215572e-13
125.012 125.014 15 20 -1.965056516064805e-09 1.176390614300344e-13
125.012 125.014 20 25 -1.716724146190605e-09 1.201446454854031e-13
125.012 125.014 25 30 -1.47377684779484e-09 9.197864852158248e-14
125.012 125.014 30 35 -1.257336266111922e-09 7.949755925275551e-14
125.012 125.014 35 40 -1.071066469381193e-09 6.826853698315311e-14
125.014 125.016 0 5 -8.586765370414886e-10 5.051370393395313e-14
125.014 125.016 5 10 -1.763737583992249e-09 6.652754979634547e-14
125.014 125.016 10 15 -1.869155296205256e-09 4.586502382683417e-14
125.014 125.016 15 20 -1.711916837832849e-09 5.433312460245774e-14
125.014 125.016 20 25 -1.495579401779208e-09 6.264317886033806e-14
125.014 125.016 25 30 -1.283931467841652e-09 4.40246327985747e-14
125.014 125.016 30 35 -1.095374485190603e-09 3.845592931671341e-14
125.014 125.016 35 40 -9.331008707337908e-10 3.323745995106527e-14
125.016 125.018 0 5 -7.603073669991432e-10 3.364414028301626e-14
125.016 125.018 5 10 -1.561692140953911e-09 3.607873771912134e-14
125.016 125.018 10 15 -1.655040833930016e-09 1.637645588094149e-14
125.016 125.018 15 20 -1.51581974396064e-09 2.593347027176903e-14
125.016 125.018 20 25 -1.324267458181884e-09 3.611926082749172e-14
125.016 125.018 25 30 -1.136865883665972e-09 2.235474471946084e-14
125.016 125.018 30 35 -9.699091940588772e-10 1.986703236424066e-14
125.016 125.018 35 40 -8.262244510582816e-10 1.7348215452798e-14
125.018 125.02 0 5 -6.8195904992394e-10 2.461296196340245e-14
125.018 125.02 5 10 -1.40076855532114e-09 2.089189979605294e-14
125.018 125.02 10 15 -1.484504609149112e-09 2.507491748721451e-15
125.018 125.02 15 20 -1.35963383207621e-09 1.211729857868339e-14
125.018 125.02 20 25 -1.187822213594695e-09 2.267783339840436e-14
125.018 125.02 25 30 -1.019732195936005e-09 1.169645712485277e-14
125.018 125.02 30 35 -8.699795388037313e-10 1.069288029785461e-14
125.018 125.02 35 40 -7.411003162264389e-10 9.489833557597525e-15
125.02 125.022 0 5 -6.181333033058274e-10 1.931383441319666e-14
125.02 125.022 5 10 -1.269673618737839e-09 1.275721575966196e-14
125.02 125.022 10 15 -1.345578822328512e-09 4.293763842892107e-15
125.02 125.022 15 20 -1.232398384499327e-09 4.977597446730206e-15
125.02 125.022 20 25 -1.076668311138886e-09 1.531940500754103e-14
125.02 125.022 25 30 -9.243102804609089e-10 6.099642782135817e-15
125.02 125.022 30 35 -7.885727313284197e-10 5.851717308536004e-15
125.02 125.022 35 40 -6.71754691720963e-10 5.330467224865961e-15
125.022 125.024 0 5 -5.651613285166817e-10 1.595125027555218e-14
125.022 125.024 5 10 -1.160871796517209e-09 8.138688798446222e-15
125.022 125.024 10 15 -1.230277809842942e-09 7.674089613668248e-15
125.022 125.024 15 20 -1.126799723377749e-09 1.123958132462702e-15
125.022 125.024 20 25 -9.844164704265146e-10 1.10199886021516e-14
125.022 125.024 25 30 -8.45115153486957e-10 3.008060858034465e-15
125.022 125.024 30 35 -7.210093978607073e-10 3.159021844774889e-15
125.022 125.024 35 40 -6.142014986088553e-10 3.007244847565506e-15
125.024 125.026 0 5 -5.205066671009364e-10 1.36702980260345e-14
125.024 125.026 5 10 -1.069153326599059e-09 5.386461864612822e-15
125.024 125.026 10 15 -1.133080608987815e-09 9.311727143720421e-15
125.024 125.026 15 20 -1.037781468480981e-09 1.01587080226435e-15
125.024 125.026 20 25 -9.066494010548911e-10 8.362715310024354e-15
125.024 125.026 25 30 -7.783547188311443e-10 1.233148907329334e-15
125.024 125.026 30 35 -6.640544081043165e-10 1.598211040145461e-15
125.024 125.026 35 40 -5.656849224475715e-10 1.652808516830209e-15
125.026 125.028 0 5 -4.82362110516961e-10 1.203344299405594e-14
125.026 125.028 5 10 -9.908062910868804e-10 3.678023890181619e-15
125.026 125.028 10 15 -1.050053573723964e-09 1.002793689389848e-14
125.026 125.028 15 20 -9.617409847977289e-10 2.219314858876336e-15
125.026 125.028 20 25 -8.402198143781304e-10 6.637325053106097e-15
125.026 125.028 25 30 -7.213271343894841e-10 1.851140664456464e-16
125.026 125.028 30 35 -6.154027540928472e-10 6.642647342133765e-16
125.026 125.028 35 40 -5.242414643679914e-10 8.359678880645941e-16
125.028 125.03 0 5 -4.494064250453846e-10 1.080234671902814e-14
125.028 125.03 5 10 -9.231169407825548e-10 2.579845403578358e-15
125.028 125.03 10 15 -9.783208514612723e-10 1.024509291165455e-14
125.028 125.03 15 20 -8.960444185008048e-10 2.891779476067777e-15
125.028 125.03 20 25 -7.828267558247853e-10 5.466796366882745e-15
125.028 125.03 25 30 -6.720571075732767e-10 4.450383580371414e-16
125.028 125.03 30 35 -5.733692650204048e-10 9.221260141961071e-17
125.028 125.03 35 40 -4.884356277449768e-10 3.302825110495872e-16
125.03 125.032 0 5 -4.206519380453945e-10 9.839876178293554e-15
125.03 125.032 5 10 -8.640566446752249e-10 1.852318389013173e-15
125.03 125.032 10 15 -9.15732632725353e-10 1.018929057061719e-14
125.03 125.032 15 20 -8.387228631944012e-10 3.254276121242164e-15
