#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 2.183849164788245e-10 1.399119548699175e-14
124.952 124.954 5 10 4.48549215584404e-10 6.069254053643187e-17
124.952 124.954 10 15 4.7529448563227e-10 6.255555378212295e-15
124.952 124.954 15 20 4.352628989272221e-10 2.568361961191111e-15
124.952 124.954 20 25 3.802221438278245e-10 1.647456998393319e-15
124.952 124.954 25 30 3.263874450813066e-10 1.087009220750949e-15
124.952 124.954 30 35 2.784333040827644e-10 6.976809263254596e-16
124.952 124.954 35 40 2.371681310874396e-10 4.718150276948537e-16
124.954 124.956 0 5 2.382389167596482e-10 5.111213368509006e-15
124.954 124.956 5 10 4.892834022108133e-10 7.875763763185312e-17
124.954 124.956 10 15 5.184597554599609e-10 6.810033446985513e-15
124.954 124.956 15 20 4.747942903514608e-10 2.789305042988425e-15
124.954 124.956 20 25 4.147558970345323e-10 1.807637310003943e-15
124.954 124.956 25 30 3.560326106998448e-10 1.176546850867497e-15
124.954 124.956 30 35 3.037236296101067e-10 7.532218818047659e-16
124.954 124.956 35 40 2.58710899470105e-10 5.080089268386805e-16
124.956 124.958 0 5 2.608976219514404e-10 5.605358539780085e-15
124.956 124.958 5 10 5.358210632618357e-10 1.034103599217124e-16
124.956 124.958 10 15 5.677749685400958e-10 7.439197577682516e-15
124.956 124.958 15 20 5.199579721236495e-10 3.03780797571656e-15
124.956 124.958 20 25 4.542099555022757e-10 1.99402619846513e-15
124.956 124.958 25 30 3.899016105225177e-10 1.275911067472857e-15
124.956 124.958 30 35 3.326173486437893e-10 8.141785589985667e-16
124.956 124.958 35 40 2.833231335676398e-10 5.472334575486094e-16
124.958 124.96 0 5 2.869448298773766e-10 6.176161483127734e-15
124.958 124.96 5 10 5.893183290846972e-10 1.375410322347192e-16
124.958 124.96 10 15 6.244652872910101e-10 8.15623880019634e-15
124.958 124.96 15 20 5.718759904601936e-10 3.317823572627138e-15
124.958 124.96 20 25 4.995645321715923e-10 2.213178337818026e-15
124.958 124.96 25 30 4.288359125720152e-10 1.385908702019524e-15
124.958 124.96 30 35 3.658323291911809e-10 8.80648750145709e-16
124.958 124.96 35 40 3.116163351285596e-10 5.892569792161296e-16
124.96 124.962 0 5 3.170907906563698e-10 6.840847368646873e-15
124.96 124.962 5 10 6.512339861081919e-10 1.85545918728499e-16
124.96 124.962 10 15 6.900766033965661e-10 8.977002184538068e-15
124.96 124.962 15 20 6.319641278433307e-10 3.633610196012926e-15
124.96 124.962 20 25 5.520564471992971e-10 2.47399812025142e-15
124.96 124.962 25 30 4.738972711690841e-10 1.507011699200666e-15
124.96 124.962 30 35 4.042743691095103e-10 9.522901544153345e-16
124.96 124.962 35 40 3.443620906962527e-10 6.333906721787862e-16
124.962 124.964 0 5 3.522419009230029e-10 7.621985034098114e-15
124.962 124.964 5 10 7.234296891762373e-10 2.542519047802133e-16
124.962 124.964 10 15 7.665817347272818e-10 9.920411957284556e-15
124.962 124.964 15 20 7.02029162554362e-10 3.989418622817077e-15
124.962 124.964 20 25 6.13264093837496e-10 2.788878266389208e-15
124.962 124.964 25 30 5.264406666609746e-10 1.638935815769571e-15
124.962 124.964 30 35 4.490994223084145e-10 1.027909992977176e-15
124.962 124.964 35 40 3.825450780238157e-10 6.781117091814818e-16
124.964 124.966 0 5 3.935694172078201e-10 8.549712732618127e-15
124.964 124.966 5 10 8.083110935310154e-10 3.544997335002853e-16
124.964 124.966 10 15 8.565299857083312e-10 1.100877145474274e-14
124.964 124.966 15 20 7.844058423290464e-10 4.388777889255692e-15
124.964 124.966 20 25 6.852270986114441e-10 3.175541233868891e-15
124.964 124.966 25 30 5.882170288333109e-10 1.77984270516358e-15
124.964 124.966 30 35 5.018012339887606e-10 1.104712434445088e-15
124.964 124.966 35 40 4.274377168072987e-10 7.203839100856618e-16
124.966 124.968 0 5 4.426079504198918e-10 9.665186698634397e-15
124.966 124.968 5 10 9.09030155038295e-10 5.039462946073947e-16
124.966 124.968 10 15 9.632615290537579e-10 1.226762656825179e-14
124.966 124.968 15 20 8.821532242583286e-10 4.832953791666456e-15
124.966 124.968 20 25 7.706178439347986e-10 3.660130024074188e-15
124.966 124.968 25 30 6.615204821914208e-10 1.924808004031848e-15
124.966 124.968 30 35 5.643369583633484e-10 1.176888857377154e-15
124.966 124.968 35 40 4.807071742554545e-10 7.54402120835441e-16
124.968 124.97 0 5 5.013994405454322e-10 1.102610700764431e-14
124.968 124.97 5 10 1.029780843569514e-09 7.321617068135361e-16
124.968 124.97 10 15 1.091220779596424e-09 1.372450241573881e-14
124.968 124.97 15 20 9.99341676032945e-10 5.317723096152662e-15
124.968 124.97 20 25 8.72992192640524e-10 4.282573734259707e-15
124.968 124.97 25 30 7.494035830101435e-10 2.062853305213519e-15
124.968 124.97 30 35 6.393107815127044e-10 1.232935603815739e-15
124.968 124.97 35 40 5.445717815250278e-10 7.692271853341984e-16
124.97 124.972 0 5 5.727082583857239e-10 1.27159449578762e-14
124.97 124.972 5 10 1.176240946407528e-09 1.090248223973039e-15
124.97 124.972 10 15 1.246424583221084e-09 1.540488715526532e-14
124.97 124.972 15 20 1.141481663788636e-09 5.82660730353613e-15
124.97 124.972 20 25 9.971640776003626e-10 5.106300961847121e-15
124.97 124.972 25 30 8.559988897956313e-10 2.171052644972593e-15
124.97 124.972 30 35 7.302482594312074e-10 1.25040194979198e-15
124.97 124.972 35 40 6.220347246527858e-10 7.441927443172569e-16
124.972 124.974 0 5 6.603505458705827e-10 1.486008086168318e-14
124.972 124.974 5 10 1.356248509956663e-09 1.669711067667872e-15
124.972 124.974 10 15 1.437179057808938e-09 1.732168199507499e-14
124.972 124.974 15 20 1.316180266714308e-09 6.316487913571231e-15
124.972 124.974 20 25 1.149779034037912e-09 6.236621971068012e-15
124.972 124.974 25 30 9.870113184666768e-10 2.202492111218847e-15
124.972 124.974 30 35 8.420163560353739e-10 1.185275474827538e-15
124.972 124.974 35 40 7.172418480546986e-10 6.396806478552292e-16
124.974 124.976 0 5 7.697126308607943e-10 1.765556938632425e-14
124.974 124.976 5 10 1.580866627937115e-09 2.641152774177512e-15
124.974 124.976 10 15 1.675207974839973e-09 1.944904889532022e-14
124.974 124.976 15 20 1.53417459941771e-09 6.686231247072445e-15
124.974 124.976 20 25 1.340216999587424e-09 7.857279799043391e-15
124.974 124.976 25 30 1.150493161467303e-09 2.060771413000478e-15
124.974 124.976 30 35 9.814846276846044e-10 9.496903886675056e-16
124.974 124.976 35 40 8.36044875534117e-10 3.778450518540587e-16
124.976 124.978 0 5 9.085932337691651e-10 2.142951467351678e-14
124.976 124.978 5 10 1.866113277028008e-09 4.337771162147608e-15
124.976 124.978 10 15 1.977485909213062e-09 2.165801820772293e-14
124.976 124.978 15 20 1.811010693607345e-09 6.705675065806909e-15
124.976 124.978 20 25 1.582058989795556e-09 1.030731490288804e-14
124.976 124.978 25 30 1.358103172876235e-09 1.543555512442311e-15
124.976 124.978 30 35 1.158599374686321e-09 3.628971092617163e-16
124.976 124.978 35 40 9.869164119485729e-10 1.99618353404783e-16
124.978 124.98 0 5 1.088622273675023e-09 2.676187367957221e-14
124.978 124.98 5 10 2.235875451463387e-09 7.446388284493436e-15
124.978 124.98 10 15 2.369326422635543e-09 2.355455857215229e-14
124.978 124.98 15 20 2.169871798160646e-09 5.847085830918308e-15
124.978 124.98 20 25 1.895557909862293e-09 1.425323057372766e-14
124.978 124.98 25 30 1.627227667343097e-09 2.108119665946425e-16
124.978 124.98 30 35 1.388193195388722e-09 9.626138610977498e-16
124.978 124.98 35 40 1.182491388417773e-09 1.429257505270914e-15
124.98 124.982 0 5 1.327753988085686e-09 3.476553254640357e-14
124.98 124.982 5 10 2.72702987176211e-09 1.34754357518752e-14
124.98 124.982 10 15 2.889808614952147e-09 2.405464713647191e-14
124.98 124.982 15 20 2.646548266980972e-09 2.860519350229744e-15
124.98 124.982 20 25 2.311980266385195e-09 2.110364339569878e-14
124.98 124.982 25 30 1.98470771823536e-09 2.943043015769291e-15
124.98 124.982 30 35 1.693164738685541e-09 3.903379800221529e-15
124.98 124.982 35 40 1.442275694416922e-09 4.067676976712735e-15
124.982 124.984 0 5 1.654870574975082e-09 4.778765422010423e-14
124.982 124.984 5 10 3.398898579954403e-09 2.599803457752179e-14
124.982 124.984 10 15 3.60179747879794e-09 2.019764252432261e-14
124.982 124.984 15 20 3.29861467118733e-09 5.378209663908581e-15
124.982 124.984 20 25 2.881623329413054e-09 3.409608661360185e-14
124.982 124.984 25 30 2.47372159694595e-09 1.03703875739013e-14
124.982 124.984 30 35 2.110350262923776e-09 1.058149345637915e-14
124.982 124.984 35 40 1.797647793338236e-09 9.938488296850177e-15
124.984 124.986 0 5 2.118800860502479e-09 7.136883317042849e-14
124.984 124.986 5 10 4.351772741478266e-09 5.42908459188357e-14
124.984 124.986 10 15 4.611574100462236e-09 3.545055553835521e-15
124.984 124.986 15 20 4.223408071984756e-09 2.729294625580741e-14
124.984 124.986 20 25 3.689521031873786e-09 6.144621835372792e-14
124.984 124.986 25 30 3.167267718526954e-09 2.857294460632099e-14
124.984 124.986 30 35 2.7020262358445e-09 2.659408514597578e-14
124.984 124.986 35 40 2.301657075626947e-09 2.383634942811118e-14
124.986 124.988 0 5 2.807300578489713e-09 1.204763633371054e-13
124.986 124.988 5 10 5.765897039738253e-09 1.253310889441496e-13
124.986 124.988 10 15 6.110148574062472e-09 5.19995575725557e-14
124.986 124.988 15 20 5.595864379339388e-09 8.802833770224508e-14
124.986 124.988 20 25 4.888497998232542e-09 1.266531544299454e-13
124.986 124.988 25 30 4.196540344624305e-09 7.673734945422237e-14
124.986 124.988 30 35 3.580117287534261e-09 6.839967978379289e-14
124.986 124.988 35 40 3.049645125128417e-09 5.982911363044293e-14
124.988 124.99 0 5 3.890689927418469e-09 2.427451825526788e-13
124.988 124.99 5 10 7.991098793718295e-09 3.296952430506075e-13
124.988 124.99 10 15 8.468242724977264e-09 2.376143906642425e-13
124.988 124.99 15 20 7.755508166201958e-09 2.734885895872375e-13
124.988 124.99 20 25 6.775164311321461e-09 3.077185553515482e-13
124.988 124.99 25 30 5.816168418621693e-09 2.199217714861541e-13
124.988 124.99 30 35 4.96185296142246e-09 1.916739106969074e-13
124.988 124.99 35 40 4.226656304429508e-09 1.65435320176017e-13
124.99 124.992 0 5 5.733885314980117e-09 9.141999012745927e-14
124.99 124.992 5 10 1.177708301881033e-08 1.034096410177186e-12
124.99 124.992 10 15 1.248034113989395e-08 9.317047121510332e-13
124.99 124.992 15 20 1.142996666257167e-08 9.353226928120752e-13
124.99 124.992 20 25 9.985178628383373e-09 9.181142090668677e-13
124.99 124.992 25 30 8.571842208233613e-09 7.231880173265681e-13
124.99 124.992 30 35 7.31277393472445e-09 6.22912399568116e-13
124.99 124.992 35 40 6.229256076481129e-09 5.33786212018125e-13
124.992 124.994 0 5 9.22856805303276e-09 1.434764545481307e-13
124.992 124.994 5 10 1.89550538355466e-08 7.457360673191552e-15
124.992 124.994 10 15 2.008722815994655e-08 2.078594894069704e-13
124.992 124.994 15 20 1.839660530183465e-08 9.036671943595737e-14
124.992 124.994 20 25 1.607113396524776e-08 4.418136209302421e-14
124.992 124.994 25 30 1.379648788965987e-08 4.122115787541491e-14
124.992 124.994 30 35 1.177002317764055e-08 2.789929863252617e-14
