#q2lo q2hi qTlo qThi PDF0  uncertainty
124.952 124.954 0 5 4.964880657529819e-10 3.180008331880514e-14
124.952 124.954 5 10 1.019755990856646e-09 2.93410051505949e-16
124.952 124.954 10 15 1.080560127079611e-09 1.405339561873678e-14
124.952 124.954 15 20 9.895501482407091e-10 5.686742230752839e-15
124.952 124.954 20 25 8.64417518628944e-10 3.876215719645049e-15
124.952 124.954 25 30 7.420268105844061e-10 2.357552306256088e-15
124.952 124.954 30 35 6.330052783263197e-10 1.489277454859823e-15
124.952 124.954 35 40 5.391908076898788e-10 9.902130560472265e-16
124.954 124.956 0 5 5.287026821299456e-10 1.14338297582901e-14
124.954 124.956 5 10 1.085823636808333e-09 3.678471975160209e-16
124.954 124.956 10 15 1.150572148398999e-09 1.490419977794307e-14
124.954 124.956 15 20 1.053669210250288e-09 6.001018337554092e-15
124.954 124.956 20 25 9.204312748081096e-10 4.174101547631415e-15
124.954 124.956 25 30 7.901118496548671e-10 2.469820207166885e-15
124.954 124.956 30 35 6.740271264009035e-10 1.551273119241357e-15
124.954 124.956 35 40 5.74134332295664e-10 1.025005967090692e-15
124.956 124.958 0 5 5.648374324405504e-10 1.224990966223697e-14
124.956 124.958 5 10 1.160040445852021e-09 4.660655268158704e-16
124.956 124.958 10 15 1.229219921785765e-09 1.584433753024313e-14
124.956 124.958 15 20 1.125697197688157e-09 6.339835068782953e-15
124.956 124.958 20 25 9.833542246570441e-10 4.52106961285043e-15
124.956 124.958 25 30 8.441281182554222e-10 2.585289082394894e-15
124.956 124.958 30 35 7.20108990301575e-10 1.611838461474961e-15
124.956 124.958 35 40 6.133881334010052e-10 1.056361384238688e-15
124.958 124.96 0 5 6.056687014080547e-10 1.318182858943313e-14
124.958 124.96 5 10 1.243903462189928e-09 5.973901446494184e-16
124.958 124.96 10 15 1.318089888156818e-09 1.688493670005076e-14
124.958 124.96 15 20 1.207087034740947e-09 6.702878228775934e-15
124.958 124.96 20 25 1.054455639031645e-09 4.930329840998851e-15
124.958 124.96 25 30 9.051652311658621e-10 2.700935082324457e-15
124.958 124.96 30 35 7.721804383553678e-10 1.667630683094895e-15
124.958 124.96 35 40 6.577440478062316e-10 1.081024873524991e-15
124.96 124.962 0 5 6.521064429718612e-10 1.425556266584552e-14
124.96 124.962 5 10 1.33928165453891e-09 7.755543413316096e-16
124.96 124.962 10 15 1.419162623930645e-09 1.803766413596096e-14
124.96 124.962 15 20 1.299652611182565e-09 7.087722139338046e-15
124.96 124.962 20 25 1.135320128134519e-09 5.420144530736192e-15
124.96 124.962 25 30 9.745835090841732e-10 2.811459578705544e-15
124.96 124.962 30 35 8.314019830054586e-10 1.713177127803597e-15
124.96 124.962 35 40 7.081906384334106e-10 1.093826892576857e-15
124.962 124.964 0 5 7.052994824385118e-10 1.550549705241664e-14
124.962 124.964 5 10 1.448534614908435e-09 1.021182640588762e-15
124.962 124.964 10 15 1.534938628701512e-09 1.931375369660229e-14
124.962 124.964 15 20 1.405683984158725e-09 7.4881099695064e-15
124.962 124.964 20 25 1.227948281903766e-09 6.016352182856452e-15
124.962 124.964 25 30 1.054100374413692e-09 2.907779394082735e-15
124.962 124.964 30 35 8.9923878672231e-10 1.739527122863802e-15
124.962 124.964 35 40 7.659759796316132e-10 1.086502231103565e-15
124.964 124.966 0 5 7.667162662308342e-10 1.697813866283614e-14
124.964 124.966 5 10 1.574678412743088e-09 1.365915693467763e-15
124.964 124.966 10 15 1.668614084575774e-09 2.072195204353865e-14
124.964 124.966 15 20 1.528108346248118e-09 7.890914090610562e-15
124.964 124.966 20 25 1.334897291916359e-09 6.756449082710251e-15
